datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc
2007-02-01,,1006475079.5054175,,,427785592.694739,,134061941.647643,818518889.959225,3818407463.61225,10105171.4809781,,766645676.356871,479856183.023216,1067597273.402,28578,1019948641.48005,264081814.702894,12799883.8759056,127998838.759056,1330514244.9954429,14147240.07336931,-50218993.8313264,229050553.568837,229050553.568837,247239862.234597,49178501.2074267,408248927.831514,342228474.1557907,422396167.904884,11450506644.1456,5097722173.10408,,,6751601905.49082,,1088663807.55071,-146188147.424816,,-106441139.599636,19536664.8632243,9747448410.55146,1623564217.94381,2097833599.45105,4939407819.90209,4898313455.87944,845466013.908499,4837008748.894846,,,,19536664.8632243,2258842665.04797,10105171.4809781,
2008-02-05,,1112887737.982347,,,494698446.276169,,174210299.803049,637300970.165585,4393480851.99504,34548034.1381574,,899719016.704355,622644540.398126,1243052034.54333,26352,854880078.780363,282264789.554307,31607775.9136334,162449266.904953,1143025384.783718,20581807.57166823,-119080458.093223,62480487.2711358,62480487.2711358,214638850.390255,100703844.189948,283734918.666569,398404989.423007,546152965.20534,12571809103.5086,5323337515.50077,,,7376372820.77467,,1109212415.20169,-116140199.868699,,36018163.2504194,155098621.343643,10256355751.696,1776651032.16865,2436003939.01816,5393903712.889339,4976387045.00693,986456634.327814,5270412867.459337,,,,155098621.343643,2399985775.76774,34548034.1381574,
2009-01-27,,1315029088.2151492,,,533274877.343062,,315377615.632994,600173159.44703,5692088117.30337,13379656.4207937,,1170719936.81945,622644540.398126,1243052034.54333,24983,891658531.471464,198783466.82322,31537761.5632994,203561915.544932,1276801498.441453,6689828.210396835,74543800.0587076,-171068464.237291,-171068464.237291,-192093638.612823,257080541.228107,336402790.008527,707210410.81338,753083518.541815,15656109391.8173,6473842328.17545,,,9041780671.22349,,1343699780.54542,-326845892.565103,,-77410869.2917348,-20069484.6311905,13170360366.7827,1747000852.65792,3243610992.29812,8798079786.41618,5835441578.95473,1294003913.83962,7321539131.4071665,,,,-20069484.6311905,4192610908.43013,13379656.4207937,
2009-02-05,,1315029088.2151492,,,533274877.343062,,315377615.632994,600173159.44703,5692088117.30337,13379656.4207937,,1170719936.81945,448629907.067711,1054673816.61532,24983,891658531.471464,198783466.82322,31537761.5632994,203561915.544932,1276801498.441453,6689828.210396835,74543800.0587076,-171068464.237291,-171068464.237291,-192093638.612823,257080541.228107,336402790.008527,707210410.81338,753083518.541815,15656109391.8173,6473842328.17545,,,9041780671.22349,,1343699780.54542,-326845892.565103,,-77410869.2917348,-20069484.6311905,13170360366.7827,1747000852.65792,3243610992.29812,8798079786.41618,5835441578.95473,1294003913.83962,7321539131.4071665,,,,-20069484.6311905,4192610908.43013,13379656.4207937,
2010-02-02,,1122836396.953559,,,209147111.034759,,388162858.615358,1115746664.37611,4149265990.9523,7089732.57744947,,690362709.729142,235991790.919752,928234377.617692,23213,901282253.908263,207374677.890397,57604077.1917769,183446830.441505,1276151863.940903,238392257.9167379,74543800.0587076,149770600.69862,149770600.69862,165722498.997881,106345988.661742,229530092.194926,547681841.607971,708087041.172765,15396240508.5037,6589020214.1671,,,6840705720.66655,,1100680982.64903,11520815.4383554,,-42538395.4646968,15951898.2992613,12056976464.525,1392246234.89664,2679918914.2759,7359142415.39254,5836622344.38527,985472828.265476,6206174654.984821,,,,15951898.2992613,3567021703.02926,7089732.57744947,
2011-02-02,,1214306895.859813,,,206672289.478965,,230684007.758678,842125262.524246,4695148485.05117,6002929.56992843,,656034445.856465,623420467.093639,1145353881.40459,21869,876427717.209551,245262550.999933,29157086.4825095,177515202.996455,1240033736.8737879,77180523.0419368,74543800.0587076,481091926.961407,481091926.961407,544551468.129222,158648852.919537,264128901.076851,666325182.262056,652604200.387934,15223429389.3385,6187305263.86195,,,7652877640.29162,,1056515604.3074,196381553.073373,,16293665.97552,63459541.1678149,11844637602.8359,1526459233.49609,2791362250.01672,6331375573.54023,6082682777.07177,1113972215.90529,5747376282.522908,,,,63459541.1678149,3028906748.71246,6002929.56992843,
2012-02-01,,1701560932.0388396,,,238318524.271845,,426640155.339806,867446097.087379,5397164621.35922,6002929.56992843,,689957126.213592,566955854.682299,1255283490.57224,23909,851613747.572816,262483689.320388,30831417.4757282,158323495.145631,1240756233.009709,71662213.59223309,74543800.0587076,373310135.92233,373310135.92233,339978873.786408,158648852.919537,34164543.6893204,508301747.572816,806616543.68932,15223429389.3385,6681251495.14563,,,8389478679.61165,,1134929475.72816,-119992543.68932,,-118325980.582524,-33331262.1359223,14973236233.0097,2190697203.8835,3347292000.0,7506200233.00971,8010335572.81553,1199092155.33981,6957900970.873791,,,,-33331262.1359223,3375623572.81553,6002929.56992843,
2013-01-31,,1355861436.5632222,,,307707475.723031,251686853.493772,394580034.832172,844368798.817817,5543605921.46928,6002929.56992843,,2122288500.10555,453913562.981167,1086823229.10019,22180,180240262.824572,256558211.948491,56020622.229259,138021822.883682,467650411.65294397,48713584.5471818,6495144.6062909,-910944031.032299,-910944031.032299,-1031916099.32447,159131042.854127,82813093.730209,829754723.4536619,858982874.181972,17881133101.1188,5339820759.44691,,,8518382151.15052,,1161007098.3745,-2732832093.0969,,-118325980.582524,-33331262.1359223,12132118231.4756,1666004591.51362,3147709454.82373,6417202871.015409,6052662879.98733,1126907589.19147,6074583993.033562,,,,-33331262.1359223,3052717964.95672,6002929.56992843,
2014-01-30,,1334975506.5013661,,,279780314.484427,224156335.04687,653374206.229211,610203356.51648,5588134411.85364,6002929.56992843,,452463713.335349,561636823.271071,1009795049.74652,20950,181815693.982461,263176141.517992,52303144.8442697,121210462.654974,454954339.28031397,51472936.19594799,15773964.3181131,278119897.187784,278119897.187784,394349107.952827,187627154.520714,120380254.006653,773754460.235864,804472180.223768,17639443150.892,5170539461.74781,,,8346917750.22679,,1149838977.92561,-47321892.9543393,,14113547.0214696,116229210.765044,12120216056.8491,1764193377.6837,3413817961.899,6358568037.49622,6184224221.34865,1101686876.32295,5931010583.610519,,,,116229210.765044,2946410492.89386,6002929.56992843,
2015-02-03,663385423.093208,1219572733.3212368,,,293629613.500272,77679791.9312889,543758543.519023,964006217.867296,5013453771.24539,6214383.35450312,,511133030.907881,641083601.175444,1035421920.19836,20414,178663521.441965,247798536.260812,33402310.5304543,114966092.058308,441221218.169722,66804621.0609085,36509502.2077058,397720534.688199,397720534.688199,518124212.181697,117296485.816246,271879271.759511,601241589.548176,956238238.674167,16818451751.0434,4799057545.51503,,,7665441867.77959,,1042462807.7179,-17866352.1441965,,42723885.5622089,120403677.493498,11026646464.6465,1552042242.78715,3049708631.2224,5034427315.06684,5808894840.62179,1053337978.58828,5216198028.186054,,,,120403677.493498,2375448037.25882,6214383.35450312,
2016-02-02,675712513.982255,1226893495.943789,,,318329123.271902,123057786.079647,461282479.556043,873194470.08612,4998946232.12172,14737459.4107362,,386121436.561288,881127159.995197,1278126843.43241,19578,177586385.899371,294749188.214724,24316808.0277147,89898502.4054908,420017593.205981,39791140.4089877,36509502.2077058,674975641.011718,674975641.011718,792138443.327071,94319740.2287117,240220588.395,774453492.0341877,768558508.269893,16178046068.1357,4887678413.57066,,,7470418175.30218,,761926651.535061,278537982.862914,,47159870.1143558,117162802.315353,10458438070.8289,1415532976.40121,2898858266.09181,4351971763.9904,5852245132.00335,1013937207.45865,4604719192.884526,,,,117162802.315353,2084613633.64864,14737459.4107362,
2017-01-31,847115391.084945,1368679394.449112,,,299132296.047098,90336248.9486964,845410933.557612,1436857695.54247,5313646341.46341,16192346.509672,,464464676.198486,981053921.304043,1338971231.17612,19310,208796047.098402,432079983.179142,13635660.2186712,94597392.7670311,465316904.96215296,54542640.8746846,36509502.2077058,749109083.263246,749109083.263246,920407064.760303,87779562.6576955,307654583.683768,775528174.9369215,863307737.594617,18325475105.1304,5446594028.59546,,,8362068629.10008,,1061877039.52902,43463666.9470143,,23862405.3826745,170445752.733389,11855354331.3709,1967796215.30698,3568281833.47351,3658618082.4222,7017251640.03364,1147099915.89571,4835546005.04626,,,,170445752.733389,1614973507.14886,16192346.509672,
2018-01-31,1036064058.7325,1491506099.974806,,,270779381.245427,86116721.2485455,635665694.989264,1383194347.47664,5644640347.40466,34624248.7494152,,399510562.493252,1130842998.19909,1427557995.40458,19111,205082088.746536,544488506.615804,23082832.4996101,67472894.9988604,466095656.242127,8878012.499850102,36509502.2077058,863830616.23541,863830616.23541,1052932282.48222,77238708.7486954,225501517.496191,716455608.7378994,818552752.486175,18694430920.9342,5221159151.16181,,,8886890512.3499,,1160356233.7304,80789913.7486355,,-9765813.74983506,188213864.996821,11600898933.5541,1908772687.46776,3481956502.44119,1827982773.7191238,7687471023.62016,1163907438.73034,3909876704.93396,,,,188213864.996821,775938292.486894,34624248.7494152,
2019-01-31,1177725938.15946,1548125240.8477812,,,316457656.665749,80912469.0338563,798336361.134049,1195706486.83365,5946167446.55473,6293192.0359666,,399510562.493252,1321740953.51445,1592553706.71305,18978,212170474.355445,623295719.790807,19778603.5416093,39557207.0832186,477383567.299752,-13485411.505642701,36509502.2077058,1344945040.82943,1344945040.82943,1653311450.5918,90801770.804661,222958803.55996,658987108.9090741,814518854.94082,19403709101.7525,5511937196.07303,,,9424504587.57684,,1114794017.7998,482777731.902009,,89003715.937242,307467382.328654,12582787962.1984,1802550004.58758,4042027341.95798,1373713918.708138,8803276630.88357,1476203046.15102,3775016194.146252,,,,307467382.328654,676967657.583264,6293192.0359666,
2020-01-30,955368472.97267,1219997085.397846,,,340719906.732731,426111248.122324,1298624756.18232,1561562450.95621,5410091025.26736,6763670.60511625,,414274824.56337,1182688270.71982,1559227912.46608,18742,201219200.502208,586156603.815887,22827388.2922673,38045647.1537789,476838777.660695,6763670.605116289,36509502.2077058,897031814.003542,897031814.003542,1105014685.11087,43963858.9332556,142882541.533081,576602919.0861596,832776943.254938,18338001928.1214,5723756249.57962,,,8655807456.89752,498820707.127323,1050059861.4443,-32127435.3743022,,44809317.7588951,197837365.19965,12446844831.0652,1537044145.01267,3859519539.04446,2106037934.66807,8507006703.58496,1155742214.64924,3844301280.182943,,,,197837365.19965,1010323296.63924,6763670.60511625,
2021-01-28,1007554176.84416,1234432510.991695,,,781569064.484612,418921018.563752,1535448253.54177,897687896.922325,4761765351.73425,7145774.30385931,,483232987.298486,837642646.755797,1274135755.93023,18014,204547789.447973,619002699.071812,26796653.6394724,41981424.0351734,528787298.485589,18757657.54763063,36509502.2077058,500204201.270151,500204201.270151,658304457.743039,115225610.649731,158100256.472887,673489228.138739,972718527.112848,19295377063.9961,6211464313.6297,,,7663842940.88911,501097423.058134,1082584807.03468,-164352808.988764,,25010210.0635076,150954482.169028,13271489325.8427,1554205911.0894,4206181399.60918,3560382046.8979,8352516939.42355,1147789997.5574,4774270456.766,,,,150954482.169028,1743568930.14167,7145774.30385931,
2022-01-27,1425934508.78749,1566259236.523198,,,1278047370.57499,423494986.699407,1310817815.97435,1050334788.44099,5327298046.97269,11763749.6305391,,432737932.837687,1224603975.84186,1515978137.327,16966,199143475.888411,582305606.711684,26888570.5840893,39492588.0453812,506681501.943932,29409374.07634767,36509502.2077058,1080584430.34809,1080584430.34809,1300734602.00532,30249641.9071005,204185082.872928,611714980.7880316,809177921.014938,19566476706.9095,7146477900.55249,,,8246388491.00789,510882841.097697,936058363.458609,299975615.578746,,-26888570.5840893,201664279.38067,14852574176.3863,2073781006.29789,4417287986.26742,4339983345.83817,9112704624.51402,1339386922.21995,5520559648.045832,,,,201664279.38067,2136801093.60435,11763749.6305391,
2023-02-02,1641091342.03767,2283372913.099313,,,1306680276.11301,515771564.640411,1829529323.63014,449420162.671233,6423700395.97603,20347763.2705479,,461805757.70548,1761953130.62547,2263583150.59078,17236,249481271.40411,613086954.195205,64582031.25,55735177.6541096,738712275.25685,7077482.8767123,36509502.2077058,1349145173.37329,1349145173.37329,1719828339.0411,102623501.712329,863452910.958904,605124785.958904,797101508.989726,21927811322.774,8747768835.61644,,,10368512414.3836,630780661.386986,1078431453.33904,-68120772.6883562,,38926155.8219178,343257919.520548,19646207780.3938,3053933861.30137,6396275149.82877,7759575288.95548,11061221050.9418,2025044788.09931,8252345034.246572,,,,343257919.520548,3838649775.25685,20347763.2705479,
