datadate,aps,rects,xads,obs,capxs,dms,ches,oancfs,cogss,drcs,drlts,dps,ebits,ebitdas,emps,gdwlias,dvts,txps,xints,intans,nopis,scstkcs,nis,ibs,pis,acos,lcos,aos,los,ppegts,ppents,pstkqs,xrds,revts,fatls,xsgas,spis,txfeds,txdis,txts,ats,lcts,acts,dlcs,ceqs,invts,lts,pstks,dcvts,dcpstks,txfos,dltts,drs,dcs
2012-10-31,661397031.767122,1330798788.863388,,,751833075.612997,,1314329123.0825,417467927.769054,4785158410.07368,,,605047085.034424,,,79175,356953411.402343,76916281.5557434,,22460006.8848895,819145195.675806,16069806.73994442,-100040205.338809,-18514228.0468656,-4805853.00157024,92382527.4791641,,359005518.178524,382182253.533035,761158090.228288,6962843558.64235,2507229354.39063,,,6144980929.70165,,1220060468.0517,50789642.7104723,-64224905.9490691,22693886.7012924,86656244.2323952,8093969340.37927,2458778509.84418,4117952105.44752,3038800454.523496,3758365659.98309,1035340680.15461,4230833067.157866,,,,86656244.2323952,980356289.769296,,
2013-03-30,661397031.767122,1330798788.863388,,,751833075.612997,,1314329123.0825,417467927.769054,4785158410.07368,,,605047085.034424,,,79175,356953411.402343,76916281.5557434,,22460006.8848895,819145195.675806,16069806.73994442,-100040205.338809,-18514228.0468656,-4805853.00157024,92382527.4791641,,359005518.178524,382182253.533035,761158090.228288,6962843558.64235,2507229354.39063,,,6144980929.70165,,1220060468.0517,50789642.7104723,-64224905.9490691,22693886.7012924,86656244.2323952,8093969340.37927,2458778509.84418,4117952105.44752,3038800454.523496,3758365659.98309,1035340680.15461,4230833067.157866,,,,86656244.2323952,980356289.769296,,
2013-10-31,593769166.047351,1309113817.2842162,,,597896879.711222,,1567392753.47701,760882202.993948,4721929824.29133,,,544341366.38709,,,79863,394179194.181973,61524584.8816223,,19849343.8793927,796502067.098418,22950367.342605338,-1934647.52096826,8346223.0597728,8346223.0597728,131709685.741586,242941441.766642,354808767.915915,570211165.728846,759904402.802845,7008250168.27689,2555557626.6058,,,5947644269.56152,,1063616126.44654,50789642.7104723,-64224905.9490691,35696691.2623421,100070865.272322,8169115508.01571,2639606537.31819,4264801250.66355,2745530235.162972,3919365396.00807,962909691.050005,4113926681.176342,,,,100070865.272322,680835288.778002,,
2014-03-30,593769166.047351,1309113817.2842162,,,597896879.711222,,1567392753.47701,760882202.993948,4721929824.29133,,,544341366.38709,,,79863,394179194.181973,61524584.8816223,,19849343.8793927,796502067.098418,22950367.342605338,-1934647.52096826,8346223.0597728,8346223.0597728,131709685.741586,242941441.766642,354808767.915915,570211165.728846,759904402.802845,7008250168.27689,2555557626.6058,,,5947644269.56152,,1063616126.44654,50789642.7104723,-64224905.9490691,35696691.2623421,100070865.272322,8169115508.01571,2639606537.31819,4264801250.66355,2745530235.162972,3919365396.00807,962909691.050005,4113926681.176342,,,,100070865.272322,680835288.778002,,
2014-09-30,593769166.047351,1309113817.2842162,,,597896879.711222,,1567392753.47701,760882202.993948,4721929824.29133,,,544341366.38709,250396220.153981,693485564.272488,79863,394179194.181973,61524584.8816223,,19849343.8793927,796502067.098418,22950367.342605338,-1934647.52096826,8346223.0597728,8346223.0597728,131709685.741586,242941441.766642,354808767.915915,570211165.728846,759904402.802845,7008250168.27689,2555557626.6058,,,5947644269.56152,,1063616126.44654,50789642.7104723,-64224905.9490691,35696691.2623421,100070865.272322,8169115508.01571,2639606537.31819,4264801250.66355,2745530235.162972,3919365396.00807,962909691.050005,4113926681.176342,,,,100070865.272322,680835288.778002,,
2014-10-31,556537134.993701,1192499810.446747,,,399023771.87712,36147461.4788255,1509521481.05437,740444251.962399,4441060250.41186,,,483375603.546855,250396220.153981,693485564.272488,83581,371600556.933811,51222959.4921989,,20106480.1821882,686918091.384824,25213072.4876442,-1934647.52096826,94733685.0470007,115683509.060956,231320488.807055,242941441.766642,328159625.351294,324344221.533094,644082040.895436,6135756772.26475,2175431586.78166,,,5726159213.58659,,1072134289.0784,50789642.7104723,-64224905.9490691,-2768494.2339374,104318723.907355,7209653359.14333,2173971729.52805,3799612931.97015,2120748009.497048,3695166252.44694,793249208.159705,3416100870.4331865,,,,104318723.907355,567791413.024518,,
2015-03-30,556537134.993701,1192499810.446747,,,399023771.87712,36147461.4788255,1509521481.05437,740444251.962399,4441060250.41186,,,483375603.546855,250396220.153981,693485564.272488,83581,371600556.933811,51222959.4921989,,20106480.1821882,686918091.384824,25213072.4876442,-1934647.52096826,94733685.0470007,115683509.060956,231320488.807055,242941441.766642,328159625.351294,324344221.533094,644082040.895436,6135756772.26475,2175431586.78166,,,5726159213.58659,,1072134289.0784,50789642.7104723,-64224905.9490691,-2768494.2339374,104318723.907355,7209653359.14333,2173971729.52805,3799612931.97015,2120748009.497048,3695166252.44694,793249208.159705,3416100870.4331865,,,,104318723.907355,567791413.024518,,
2015-04-29,556537134.993701,1192499810.446747,,,399023771.87712,36147461.4788255,1509521481.05437,740444251.962399,4441060250.41186,,,483375603.546855,421890695.34532,831207786.254411,83581,371600556.933811,51222959.4921989,,20106480.1821882,686918091.384824,25213072.4876442,-1934647.52096826,94733685.0470007,115683509.060956,231320488.807055,242941441.766642,328159625.351294,324344221.533094,644082040.895436,6135756772.26475,2175431586.78166,,,5726159213.58659,,1072134289.0784,50789642.7104723,-64224905.9490691,-2768494.2339374,104318723.907355,7209653359.14333,2173971729.52805,3799612931.97015,2120748009.497048,3695166252.44694,793249208.159705,3416100870.4331865,,,,104318723.907355,567791413.024518,,
2015-10-30,627025852.897103,1312275414.5854142,,,576084321.928072,33932925.8241758,1609810815.85082,802669060.10656,4507673690.89244,,,450916271.645022,421890695.34532,831207786.254411,88076,355287117.049617,63679723.1934732,,16811941.3919414,623738758.741259,27527306.44355644,-1934647.52096826,277801598.401598,277801598.401598,418708367.882118,242941441.766642,372604765.234765,449786859.80686,682664838.078588,6563978653.4299,2400725002.4975,,,6082866067.26607,,1168047837.16284,50789642.7104723,-64224905.9490691,16907463.7862138,122145047.452547,7890610521.97802,2179467042.54079,4159387803.44655,2246546239.177492,4151633632.61738,848531047.286047,3631396197.5524483,,,,122145047.452547,738798292.124542,,
2016-03-30,627025852.897103,1312275414.5854142,,,576084321.928072,33932925.8241758,1609810815.85082,802669060.10656,4507673690.89244,,,450916271.645022,421890695.34532,831207786.254411,88076,355287117.049617,63679723.1934732,,16811941.3919414,623738758.741259,27527306.44355644,-1934647.52096826,277801598.401598,277801598.401598,418708367.882118,242941441.766642,372604765.234765,449786859.80686,682664838.078588,6563978653.4299,2400725002.4975,,,6082866067.26607,,1168047837.16284,50789642.7104723,-64224905.9490691,16907463.7862138,122145047.452547,7890610521.97802,2179467042.54079,4159387803.44655,2246546239.177492,4151633632.61738,848531047.286047,3631396197.5524483,,,,122145047.452547,738798292.124542,,
