,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,herf,hire,invest,lev,lgr,mve_ia,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,quick,rd_mve,rd_sale,roic,salecash,saleinv,salerec,sgr,sp
0GTQ.L^A08,0.2063020257666692,-0.2063020257666692,9.0,,,,-1.460814921479384,,,,-0.0740927051226359,,,,0.0,0.187368791124375,0.1177849760104347,0.0,,,,,-0.2082436595911715,,1.3699334202857569e-12,,,,,,,,,,,,,,,-0.8034569022649368,0.187368791124375,,,-0.000472567777432,-8.778781506586368,,-41.54760471410046,,
0GTU.L^E08,0.0796597145851893,-0.0796597145851893,7.0,,0.0,,0.1014243607131173,-11.629789562857498,0.0,0.0,0.7928170436292532,,,,,0.684021124832951,1.469768467475192,1.0,,0.0,,0.0,0.4815907576036927,,2.3401324468625947e-09,,,0.0,,0.0,,,,,,,,,,-1.3090017372145226,,0.0,0.0157812547010208,-0.0050885219448239,25.914400737692034,,4.942670277597458,,0.0
0GTX.L^A08,0.0150407478427611,-0.0150407478427611,4.0,,,,0.1696277118114455,,,,0.4402276985515399,,,0.0,,2.90885264997088,0.1687890137328338,0.0,,,,,0.3773370086289574,,6.624141372633435e-10,,,,,,,,,,,,,,,-0.2050653594771227,1.3182877111240503,,,0.1392806027156032,20.64800000000001,3.780300256316365,6.056908184218254,,
0GU6.L^A08,0.0,-0.0,0.0,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,-0.0,0.0,,,0.0,0.0,0.0,0.0,,
0GU8.L^A08,0.0236168659996089,-0.0236168659996089,10.0,,,,0.5920926285701532,,,,0.6166620867910673,,,0.0160636163874409,,2.0411114226844385,0.6465294183822704,1.0,,,,,1.4747221369235846,,3.699112231951722e-11,,,,,,,,,,,,,,,-0.1252485089463207,2.0165567354701888,,,0.2322467760930577,6.601552412923607,215.7894736842109,6.505598467157651,,
0GUA.L^A08,0.0495798913075482,-0.0495798913075482,11.0,,,,0.2480882669023001,,,,0.2628218124000499,,,0.198805913905687,,2.698394038720746,0.0836652960838683,1.0,,,,,0.606261886396959,,3.082465097273904e-10,,,,,,,,,,,,,,,-2.521334251579496,2.0519391006004155,,0.2044548031335391,0.0448913620092156,5.507414593887472,7.431191247638045,4.932380843794607,,
0GUE.L^A08,0.0590648904391069,-0.0590648904391069,12.0,,,,0.0684234605614941,,,,0.647386762557379,,,0.758622128595192,,1.3672243026158686,0.2320196847421044,1.0,,,,,0.1112084793857507,,1.252601637809346e-09,,,,,,,,,,,,,,,-15.814871893662088,0.6519184847498096,,,0.0227366760430011,67.29622139435884,4.79694390649629,6.109443698242301,,
0GUH.L^A08,1.592823712948516,-1.592823712948516,10.0,,,,0.2435897435897434,,,,1.4825847286668878,,,0.0,,10.813559322033887,1.0104497871478917,1.0,,,,,0.068642745709838,,1.3972233672293447e-09,,,,,,,,,,,,,,,-102.09999999999997,0.427179525903335,,,-1.5067525116632718,4.3080645161290345,4.358707011421223,205.46153846153865,,
0GUI.L^A08,0.0,0.0,0.0,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,
0GUJ.L^A08,0.0346148180880834,0.0346148180880834,9.0,,,,-2.5616766467065863,,,,0.1085894432014382,,,0.2771909443595865,,16.261077844311384,0.0467800827383282,,,,,,-0.1798335543370832,,3.36323766164621e-15,,,,,,,,,,,,,,,0.219626168224298,-3.458842227954785,,,-96.11926011294312,0.3209169054441251,0.251668071336492,24.963855421686663,,
0GUN.L^A08,0.0680527273715577,-0.0680527273715577,13.0,,,,0.2349526097083952,,,,0.281358279822303,,,0.0266288995837218,,1.8032329326393728,0.0837241398420626,0.0,,,,,0.2594651163207429,,1.372978752346871e-09,,,,,,,,,,,,,,,-0.8580019354814385,1.7253195706201268,,,0.0911884802005959,4.614899936207378,59.392664872140045,7.406285926874927,,
0GUO.L^A08,0.0286975717439303,-0.0286975717439303,11.0,,,,-0.3578431372549026,,,,0.1598342602656932,,,0.7196467991169985,,1.424242424242426,0.580645161290322,,,,,,0.3443708609271523,,3.24419449186218e-13,,,,,,,,,,,,,,,-0.0841423948220093,0.5261707988980707,,,-0.0080552359033371,11.000000000000009,1.2484662576687102,3.0148148148148146,,
0GUR.L^A08,0.0301369863013698,-0.0301369863013698,9.0,,,,0.0266924232589314,,,,0.2727460750310717,,,0.0,,1.7054545454545469,0.17150576273232,0.0,,,,,0.2241095890410952,,2.7823249580894555e-10,,,,,,,,,,,,,,,-13.749999999999996,0.7800000000000024,,0.0261556100189733,0.0511638793973924,77.7222222222224,2.748526522593321,3.649868558436792,,
0GUT.L^B21,0.0085602940212002,0.0085602940212002,5.0,,,,2.5960374752570297,-90.53913768768358,,,0.2575876815990834,,,0.2441940618914536,,8.346684409159256,7.44926829139909,,,,,,0.9414605063326956,,4.735171162759284e-13,,,,,,,,,,,,,,,0.0618548558512616,7.774610558715911,,,0.3031280774553103,66.21280192881615,17.69648740885019,1.2365862357444308,,
0GUV.L^F18,0.0014443040259974,-0.0014443040259974,5.0,,0.0404430332086952,,0.0432432432432432,493.46990629006586,0.0002934407018983,0.1365179813494651,0.5526465481646009,,,0.5593067340675218,,2.031769596199524,0.1175917215428032,1.0,,0.0028573356816907,,1.7261217758726117e-05,0.243094421375698,,5.798669834841586e-08,,,0.1500862884121235,,0.0681781234695232,,,,,,,,,,-15.99999999999995,1.1119358669833708,,,0.0701847137821193,163.87619047619023,5.554228534538394,6.444569288389497,,0.2970137739743999
