Date,CLOSE,HIGH,LOW,OPEN,COUNT,VOLUME
2016-11-17,282.5,282.5,282.5,282.5,0.0,0.0
2016-11-18,282.5,282.5,282.5,282.5,1.0,1724.0
2016-11-21,282.5,282.5,282.5,282.5,0.0,0.0
2016-11-22,282.5,282.5,282.5,282.5,1.0,2500.0
2016-11-23,282.5,282.5,282.5,282.5,5.0,145070.0
2016-11-24,282.5,282.5,282.5,282.5,51.0,86018.0
2016-11-25,282.5,282.5,282.5,282.5,5.0,7068.0
2016-11-28,282.5,282.5,282.5,282.5,12.0,55749.0
2016-11-29,282.5,282.5,282.5,282.5,5.0,2279.0
2016-11-30,282.5,282.5,282.5,282.5,6.0,21606.0
2016-12-01,282.5,282.5,282.5,282.5,12.0,21738.0
2016-12-02,282.5,282.5,282.5,282.5,9.0,23308.0
2016-12-05,282.5,282.5,282.5,282.5,5.0,1831.0
2016-12-06,327.5,327.5,327.5,327.5,0.0,0.0
2016-12-07,327.5,327.5,327.5,327.5,1.0,741.0
2016-12-08,327.5,327.5,327.5,327.5,2.0,4734.0
2016-12-09,327.5,327.5,327.5,327.5,0.0,0.0
2016-12-12,327.5,327.5,327.5,327.5,5.0,51792.0
2016-12-13,327.5,327.5,327.5,327.5,2.0,1042.0
2016-12-14,327.5,327.5,327.5,327.5,2.0,3818.0
2016-12-15,327.5,327.5,327.5,327.5,2.0,2997.0
2016-12-16,327.5,327.5,327.5,327.5,3.0,903.0
2016-12-19,327.5,327.5,327.5,327.5,8.0,8931.0
2016-12-20,327.5,327.5,327.5,327.5,26.0,9392312.0
2016-12-21,327.5,327.5,327.5,327.5,25.0,78445.0
2016-12-22,327.5,327.5,327.5,327.5,9.0,27043.0
2016-12-23,327.5,327.5,327.5,327.5,3.0,4913.0
2016-12-27,327.5,327.5,327.5,327.5,0.0,0.0
2016-12-28,327.5,327.5,327.5,327.5,8.0,25530.0
2016-12-29,327.5,327.5,327.5,327.5,4.0,17478.0
2016-12-30,327.5,327.5,327.5,327.5,1.0,1420.0
2017-01-03,327.5,327.5,327.5,327.5,7.0,80648.0
2017-01-04,327.5,327.5,327.5,327.5,2.0,23250.0
2017-01-05,327.5,327.5,327.5,327.5,8.0,34925.0
2017-01-06,327.5,327.5,327.5,327.5,10.0,13197.0
2017-01-09,327.5,327.5,327.5,327.5,4.0,6233.0
2017-01-10,327.5,327.5,327.5,327.5,6.0,9206.0
2017-01-11,327.5,327.5,327.5,327.5,12.0,281972.0
2017-01-12,327.5,327.5,327.5,327.5,12.0,260355.0
2017-01-13,327.5,327.5,327.5,327.5,2.0,1175.0
2017-01-16,327.5,327.5,327.5,327.5,6.0,6322.0
2017-01-17,327.5,327.5,327.5,327.5,11.0,50892.0
2017-01-18,327.5,327.5,327.5,327.5,5.0,2136.0
2017-01-19,327.5,327.5,327.5,327.5,4.0,7332.0
2017-01-20,352.5,352.5,352.5,352.5,0.0,0.0
2017-01-23,352.5,352.5,352.5,352.5,0.0,0.0
2017-01-24,352.5,352.5,352.5,352.5,1.0,5000.0
2017-01-25,352.5,352.5,352.5,352.5,0.0,0.0
2017-01-26,352.5,352.5,352.5,352.5,3.0,60280.0
2017-01-27,352.5,352.5,352.5,352.5,22.0,64406.0
2017-01-30,352.5,352.5,352.5,352.5,8.0,10798.0
2017-01-31,352.5,352.5,352.5,352.5,3.0,10721.0
2017-02-01,352.5,352.5,352.5,352.5,3.0,9931.0
2017-02-02,352.5,352.5,352.5,352.5,2.0,1582.0
2017-02-03,352.5,352.5,352.5,352.5,2.0,7435.0
2017-02-06,352.5,352.5,352.5,352.5,5.0,5755.0
2017-02-07,352.5,352.5,352.5,352.5,1.0,96622.0
2017-02-08,352.5,352.5,352.5,352.5,5.0,364786.0
2017-02-09,352.5,352.5,352.5,352.5,12.0,134765.0
2017-02-10,352.5,352.5,352.5,352.5,24.0,43505.0
2017-02-13,352.5,352.5,352.5,352.5,11.0,10060.0
2017-02-14,352.5,352.5,352.5,352.5,2.0,5151.0
2017-02-15,367.5,367.5,367.5,367.5,0.0,0.0
2017-02-16,367.5,367.5,367.5,367.5,10.0,13795.0
2017-02-17,367.5,367.5,367.5,367.5,3.0,592.0
2017-02-20,356.5,356.5,356.5,356.5,0.0,0.0
2017-02-21,356.5,356.5,356.5,356.5,3.0,3740.0
2017-02-22,356.5,356.5,356.5,356.5,4.0,22047.0
2017-02-23,356.5,356.5,356.5,356.5,3.0,1685.0
2017-02-24,356.5,356.5,356.5,356.5,4.0,23554.0
