Company Name,RIC,RIC1(ticker),delisted MM,delisted YY,ISIN,CUSIP,SEDOL
Viking Supply Ships Ord Shs Class B,0GUN.L^A08,0GUN,1,2008,GB0002481678,,
AAK Ord Shs,0GUV.L^A08,0GUV,1,2008,GB00B0VQMW25,,
AAK Ord Shs,0GUV.L^F18,0GUV,6,2018,,,
Scania Ord Shs,0GUY.L^A08,0GUY,1,2008,IM00B4N6DD66,,
Stmicroelectronics Ord Shs,0GV2.L^K07,0GV2,11,2007,NL0000226223,,
Zurich Insurance Group Ord Shs,0GVK.L^B08,0GVK,2,2008,GB00B03T1L15,,
UBS Ord Shs,0GVQ.L^E09,0GVQ,5,2009,,,
Fabege Ord Shs,0GVR.L^E09,0GVR,5,2009,,,
Axis Ord Shs,0GWC.L^G19,0GWC,7,2019,SE0000672354,,
Axis Ord Shs,0GWC.L^A08,0GWC,1,2008,US1904411055,190441105,
Wihlborgs Fastigheter Ord Shs,0GWG.L^A08,0GWG,1,2008,GB0002045127,,
Wihlborgs Fastigheter Ord Shs,0GWG.L^G18,0GWG,7,2018,SE0018012635,,
Umicore Ord Shs,0GWH.L^E08,0GWH,5,2008,,,
Svolder Ord Shs Class B,0GWR.L^A08,0GWR,1,2008,CY0009670817,,
Svolder Ord Shs Class B,0GWR.L^B18,0GWR,2,2018,GB0001950582,,
Abb Ord Shs,0GX0.L^K07,0GX0,11,2007,CH0012221716,,
Beijer Alma Ord Shs Class B,0GX4.L^A08,0GX4,1,2008,GB0001882744,,
Beijer Alma Ord Shs Class B,0GX4.L^G18,0GX4,7,2018,SE0011090547,,
Nestle Ord Shs,0GXU.L^K07,0GXU,11,2007,CH0038863350,,
Betsson Ord Shs Class B,0GXV.L^A08,0GXV,1,2008,GB0001992212,,
Ap Alternative Assets Lp Ord Shs,0GYF.L^E09,0GYF,5,2009,,,
Baloise Holding Ord Shs,0GYI.L^K07,0GYI,11,2007,CH0012410517,,
Anoto Group Ord Shs,0GYX.L^A08,0GYX,1,2008,GB0001921781,,
Anoto Group Ord Shs,0GYX.L^J17,0GYX,10,2017,SE0010415281,,
Subsea 7 Ord Shs,0GZ0.L^K07,0GZ0,11,2007,KYG8549P1081,,
Compagnie Financiere Richemont Ord Shs,0GZ2.L^E08,0GZ2,5,2008,,,
MultiQ International Ord Shs,0GZ4.L^A08,0GZ4,1,2008,GB0034212448,,
MultiQ International Ord Shs,0GZ4.L^F22,0GZ4,6,2022,,,
Holmen Ord Shs Class A,0GZH.L^A08,0GZH,1,2008,GB00BMMV6B79,,
Empir Group Ord Shs Class B,0GZI.L^A08,0GZI,1,2008,US1941621039,194162103,
Airbus Ord Shs,0GZN.L^K07,0GZN,11,2007,NL0000235190,,
Scania B Ord Shs,0GZW.L^F14,0GZW,6,2014,,,
Ciba Holding AG Ord Shs,0H04.L^K07,0H04,11,2007,CH0005819724,,
Givaudan Ord Shs,0H0E.L^K07,0H0E,11,2007,CH0010645932,,
ICA Gruppen Ord Shs,0H0P.L^A08,0H0P,1,2008,GB0001769909,,
Fast Partner Ord Shs Class A,0H0V.L^A08,0H0V,1,2008,GB0009270579,,
Lindex AB Ord Shs,0H10.L^E08,0H10,5,2008,,,
Swisscom Ord Shs,0H1A.L^K07,0H1A,11,2007,CH0008742519,,
Svolder Ord Shs Class A,0H1E.L^B18,0H1E,2,2018,GB0002408283,,
Svolder Ord Shs Class A,0H1E.L^A08,0H1E,1,2008,GB0003477741,,
Cpi Fim Ord Shs,0H1G.L^E08,0H1G,5,2008,,,
Schweizerische Rueckversicherungs Ord Shs,0H2D.L^K07,0H2D,11,2007,CH0012332372,,
