Date,HIGH,LOW,OPEN,CLOSE,COUNT,VOLUME
1991-01-18,346.0,343.0,343.0,346.0,,194490
1991-01-21,348.0,344.0,344.0,346.0,,142188
1991-01-22,347.5,344.0,344.0,347.0,,342340
1991-01-23,354.0,346.0,346.0,351.5,,568240
1991-01-24,359.0,353.0,356.0,361.0,,586387
1991-01-25,367.0,359.0,359.0,366.0,,981300
1991-01-28,369.0,359.0,364.0,363.0,,406284
1991-01-29,366.0,361.0,363.0,364.0,,750280
1991-01-30,370.0,362.0,362.0,366.0,,658374
1991-01-31,369.0,363.0,365.0,366.0,,318658
1991-02-01,363.0,358.0,361.0,361.0,,524550
1991-02-04,369.0,362.0,366.0,369.0,,1074065
1991-02-05,382.0,370.0,370.0,380.0,,609692
1991-02-06,380.5,374.0,378.0,377.0,,835145
1991-02-07,379.0,374.0,377.0,377.0,,876790
1991-02-08,377.0,366.0,377.0,368.0,,328060
1991-02-11,373.0,368.0,371.0,372.0,,1242653
1991-02-12,371.0,363.0,371.0,365.0,,893371
1991-02-13,368.0,362.5,366.0,367.0,,857167
1991-02-14,375.0,368.0,369.0,375.0,,1630225
1991-02-15,377.5,371.0,373.0,374.0,,815344
1991-02-18,375.0,371.0,371.0,374.0,,506586
1991-02-19,375.0,359.625,373.0,361.0,,658525
1991-02-20,361.0,357.0,358.0,360.0,,393615
1991-02-21,363.0,360.0,361.0,362.0,,244130
1991-02-22,361.0,354.0,360.0,357.0,,489525
1991-02-25,362.0,357.375,358.0,358.0,,279240
1991-02-26,356.0,352.0,354.0,355.0,,753222
1991-02-27,364.0,359.0,359.0,364.0,,616840
1991-02-28,368.0,362.0,364.0,364.0,,678535
1991-03-01,367.0,361.0,363.5,366.0,,666360
1991-03-04,369.0,366.0,369.0,367.0,,421192
1991-03-05,369.0,365.5,366.0,369.0,,1276751
1991-03-06,374.5,368.0,368.0,374.0,,1593540
1991-03-07,375.5,373.0,374.0,375.0,,215220
1991-03-08,378.0,371.0,378.0,374.0,,1274475
1991-03-11,379.0,373.0,374.0,375.0,,566378
1991-03-12,379.0,373.0,375.0,379.0,,1113156
1991-03-13,382.875,375.0,382.0,377.0,,658243
1991-03-14,379.0,374.0,378.0,377.0,,109427
1991-03-15,378.0,373.0,378.0,374.0,,590313
1991-03-18,374.0,369.0,371.0,371.0,,910329
1991-03-19,372.0,365.0,369.0,368.0,,1320860
1991-03-20,368.0,363.0,368.0,367.0,,121000
1991-03-21,369.0,365.0,368.0,367.0,,598000
1991-03-22,368.5,358.0,368.5,359.0,,296006
1991-03-25,356.0,345.0,347.0,347.0,,600715
1991-03-26,356.0,343.0,346.375,355.0,,688693
1991-03-27,360.0,355.0,356.0,358.0,,314988
1991-03-28,363.0,352.25,358.5,360.0,,945950
1991-04-02,365.75,358.0,358.0,364.0,,1269105
1991-04-03,374.0,360.75,360.75,371.0,,727812
1991-04-04,374.0,369.0,371.5,373.0,,440131
1991-04-05,378.0,370.0,371.75,378.0,,990755
1991-04-08,379.0,373.0,377.5,375.0,,716763
1991-04-09,377.0,371.0,374.0,375.0,,621240
1991-04-10,377.0,371.0,371.0,374.0,,144127
1991-04-11,376.0,372.0,372.0,374.0,,383473
1991-04-12,372.0,368.0,371.0,371.0,,597908
1991-04-15,375.0,369.0,369.0,374.0,,621834
1991-04-16,376.0,370.875,374.0,372.0,,876585
1991-04-17,377.0,371.0,371.0,377.0,,1392275
1991-04-18,381.0,375.0,381.0,376.0,,1510085
1991-04-19,375.0,367.0,375.0,366.0,,856793
1991-04-22,362.0,352.0,362.0,356.0,,1711750
1991-04-23,356.0,351.0,353.0,353.0,,473895
1991-04-24,357.0,351.0,354.0,352.0,,1649675
1991-04-25,351.0,346.0,346.0,350.0,,1249394
1991-04-26,359.0,350.5,354.0,356.0,,1942328
1991-04-29,363.0,356.0,356.0,363.0,,1334570
1991-04-30,364.0,357.5,364.0,359.0,,588160
1991-05-01,365.0,357.0,362.0,364.0,,767660
1991-05-02,375.0,363.5,364.0,372.0,,1402745
1991-05-03,374.0,369.0,369.0,368.0,,1613009
1991-05-07,369.0,362.5,369.0,365.0,,186516
1991-05-08,368.0,363.0,365.0,370.0,,695053
1991-05-09,374.0,370.0,370.0,373.0,,203495
1991-05-10,375.0,370.0,374.0,376.0,,1457038
1991-05-13,376.0,369.0,373.0,372.0,,498620
1991-05-14,371.0,361.0,371.0,363.0,,1426980
1991-05-15,368.0,360.0,360.0,366.0,,1006296
1991-05-16,374.0,366.875,368.0,373.0,,646785
1991-05-17,374.0,364.0,372.0,366.0,,1020120
1991-05-20,368.0,363.0,365.0,366.0,,805794
1991-05-21,373.0,369.0,369.0,371.0,,3115500
1991-05-22,372.0,367.0,372.0,370.0,,904585
1991-05-23,374.5,368.0,368.0,373.0,,983620
1991-05-24,374.0,368.0,371.0,371.0,,536502
1991-05-28,373.0,368.0,368.0,371.0,,142334
1991-05-29,373.0,370.0,370.0,372.0,,433172
1991-05-30,373.0,369.0,370.0,370.0,,40840
1991-05-31,372.0,366.0,368.0,368.0,,240650
1991-06-03,371.0,367.0,371.0,368.0,,467079
1991-06-04,372.0,367.0,372.0,369.0,,1268220
1991-06-05,371.0,365.0,367.5,369.0,,1248705
1991-06-06,367.5,362.0,362.0,366.0,,2587178
1991-06-07,366.0,363.0,365.0,364.0,,587708
1991-06-10,369.0,364.0,365.0,366.0,,739760
1991-06-11,368.0,361.0,368.0,365.0,,1019079
1991-06-12,366.0,362.0,363.0,364.0,,466132
1991-06-13,367.0,360.0,367.0,362.0,,1594090
1991-06-14,363.0,354.0,361.0,356.0,,1111777
1991-06-17,362.5,351.0,355.0,355.0,,817563
1991-06-18,368.0,352.0,353.0,354.0,,699725
1991-06-19,353.0,344.375,352.0,345.0,,778841
1991-06-20,349.0,341.0,347.0,344.0,,1045045
1991-06-21,345.0,342.0,344.0,344.0,,278026
1991-06-24,344.0,341.0,344.0,343.0,,124184
1991-06-25,346.0,340.0,340.0,345.0,,133978
1991-06-26,344.0,339.0,342.875,342.0,,587780
1991-06-27,346.0,340.0,344.0,345.0,,2316373
1991-06-28,346.0,343.0,344.0,345.0,,1606283
1991-07-01,335.0,330.875,334.0,333.0,,736256
1991-07-02,340.0,332.0,334.0,339.0,,1020314
1991-07-03,343.0,337.0,337.0,344.0,,894890
1991-07-04,351.0,344.0,346.0,350.0,,1099774
1991-07-05,366.0,353.0,353.0,366.0,,1955705
1991-07-08,368.0,363.0,366.0,364.0,,889282
1991-07-09,365.0,360.0,365.0,362.0,,471430
1991-07-10,362.0,354.0,361.0,358.0,,1379011
1991-07-11,358.0,348.0,353.0,351.0,,1287960
1991-07-12,353.0,348.0,348.0,351.0,,566000
1991-07-15,357.0,353.0,355.0,355.0,,105795
1991-07-16,362.0,348.5,358.0,357.0,,1026120
1991-07-17,362.0,356.0,359.0,360.0,,410557
1991-07-18,370.0,363.5,363.5,368.0,,643037
1991-07-19,374.0,372.0,372.0,377.0,,154865
1991-07-22,380.0,374.0,374.0,376.0,,488869
1991-07-23,379.0,373.0,373.0,377.0,,503786
1991-07-24,382.0,375.0,375.0,381.0,,240805
1991-07-25,381.0,378.0,379.0,379.0,,1177450
1991-07-26,384.0,379.0,380.0,381.0,,169811
1991-07-29,385.0,374.0,381.0,376.0,,979107
1991-07-30,382.0,367.0,375.0,372.0,,2079271
1991-07-31,371.0,363.0,370.0,366.0,,1204910
1991-08-01,365.0,358.0,363.0,363.0,,478450
1991-08-02,366.0,362.0,362.0,365.0,,819477
1991-08-05,366.0,359.0,363.5,362.0,,265390
1991-08-06,363.0,357.0,358.0,359.0,,577810
1991-08-07,363.0,359.0,361.0,363.0,,394410
1991-08-08,365.0,360.0,361.0,364.0,,858524
1991-08-09,367.5,360.0,360.0,364.0,,500053
1991-08-12,370.0,361.0,361.0,368.0,,435272
1991-08-13,375.0,366.0,366.0,373.0,,939930
1991-08-14,377.0,371.0,371.0,375.0,,2070305
1991-08-15,378.0,373.0,373.0,378.0,,653415
1991-08-16,383.0,375.0,375.0,381.0,,1001850
1991-08-19,378.0,370.0,370.0,379.0,,721779
1991-08-20,382.0,375.0,382.0,377.0,,463225
1991-08-21,379.0,375.0,376.0,376.0,,1104696
1991-08-22,378.0,372.0,375.0,374.0,,2092055
1991-08-23,375.0,371.0,371.0,373.0,,411100
1991-08-27,374.0,368.0,371.0,369.0,,455840
1991-08-28,374.0,367.0,367.0,371.0,,522637
1991-08-29,374.0,370.0,370.0,372.0,,1509638
1991-08-30,374.0,370.0,370.0,372.0,,437840
1991-09-02,381.125,373.0,377.0,380.0,,3967359
1991-09-03,385.0,380.0,383.0,385.0,,602245
1991-09-04,394.0,384.0,386.0,391.0,,5813613
1991-09-05,398.0,389.0,393.0,397.0,,918471
1991-09-06,404.0,397.0,397.0,401.0,,916000
1991-09-09,402.0,394.0,402.0,396.0,,159461
1991-09-10,395.0,389.0,390.0,391.0,,281908
1991-09-11,393.0,388.0,392.0,391.0,,34272
1991-09-12,394.0,389.0,389.75,391.0,,120045
1991-09-13,397.0,389.0,389.0,392.0,,424585
1991-09-16,395.0,390.0,395.0,393.0,,84263
1991-09-17,397.0,392.0,395.0,394.0,,1805008
1991-09-18,394.0,385.0,392.0,387.0,,295742
1991-09-19,383.0,378.0,383.0,382.0,,1709768
1991-09-20,386.0,380.0,381.0,384.0,,844336
1991-09-23,382.0,376.0,381.0,379.0,,549294
1991-09-24,380.0,375.0,380.0,376.0,,185410
1991-09-25,378.0,370.0,374.0,373.0,,306969
1991-09-26,380.0,370.0,371.0,379.0,,671681
1991-09-27,378.0,374.0,376.0,376.0,,494347
1991-09-30,386.0,374.0,379.0,385.0,,887726
1991-10-01,401.0,386.5,386.5,399.0,,1357746
1991-10-02,408.0,398.0,407.0,401.0,,592861
1991-10-03,400.0,393.0,400.0,396.0,,2669052
1991-10-04,399.0,394.0,394.0,398.0,,581490
1991-10-07,398.0,393.0,395.0,396.0,,1109596
1991-10-08,395.0,391.0,391.0,393.0,,1226906
1991-10-09,393.0,383.0,392.0,387.0,,862719
1991-10-10,393.75,383.0,385.0,384.0,,865420
1991-10-11,383.0,374.0,380.0,375.0,,1275997
1991-10-14,375.0,370.0,373.0,373.0,,544402
1991-10-15,374.0,367.0,373.0,367.5,,314562
1991-10-16,367.0,363.0,365.0,365.0,,77045
1991-10-17,370.0,363.0,365.5,366.0,,161575
1991-10-18,370.0,363.0,366.0,369.0,,789265
1991-10-21,368.0,358.0,367.0,360.0,,940497
1991-10-22,360.0,353.0,358.0,356.0,,345930
1991-10-23,359.0,355.0,355.0,356.0,,12300
1991-10-24,364.0,358.0,358.0,362.0,,636790
1991-10-25,362.0,355.0,362.0,357.0,,391320
1991-10-28,360.0,355.0,357.0,358.0,,536694
1991-10-29,362.0,356.0,357.0,359.0,,647770
1991-10-30,366.0,359.0,362.0,367.0,,88003
1991-10-31,371.0,364.0,364.0,368.0,,116510
1991-11-01,370.0,366.0,366.0,368.0,,273913
1991-11-04,376.0,367.0,371.0,375.0,,415315
1991-11-05,375.0,371.0,375.0,374.0,,206750
1991-11-06,374.0,368.0,372.0,371.0,,565778
1991-11-07,370.0,367.0,369.0,369.0,,315610
1991-11-08,369.0,364.0,367.0,365.0,,551231
1991-11-11,372.0,367.0,369.0,369.0,,241032
1991-11-12,378.0,367.0,369.0,376.0,,132570
1991-11-13,379.0,373.0,379.0,376.0,,192639
1991-11-14,384.0,373.0,379.0,376.0,,3192398
1991-11-15,373.0,369.0,373.0,371.0,,205664
1991-11-18,366.0,358.0,358.0,360.0,,1257634
1991-11-19,360.875,350.375,360.0,353.0,,1589995
1991-11-20,355.0,350.0,352.0,351.0,,507452
1991-11-21,351.0,348.0,351.0,351.0,,239735
1991-11-22,351.0,338.0,351.0,348.0,,1998064
1991-11-25,342.0,336.0,336.0,340.0,,1012097
1991-11-26,352.5,340.0,343.0,342.0,,578737
1991-11-27,340.0,336.5,339.0,338.0,,1354157
1991-11-28,338.5,333.0,338.0,337.0,,822284
1991-11-29,340.0,334.0,336.5,337.0,,772610
1991-12-02,338.0,332.0,335.0,334.0,,1930407
1991-12-03,332.0,328.0,332.0,330.0,,998462
1991-12-04,335.0,328.0,328.0,333.0,,1434872
1991-12-05,333.0,327.0,331.0,329.0,,1439597
1991-12-06,329.0,324.0,325.0,326.0,,668232
1991-12-09,328.0,324.0,324.0,328.0,,964242
1991-12-10,338.0,328.0,329.0,336.0,,545433
1991-12-11,343.0,338.0,340.0,340.0,,304285
1991-12-12,354.0,333.0,342.0,353.0,,915907
1991-12-13,363.0,356.0,358.0,359.0,,1428141
1991-12-16,360.0,353.0,360.0,355.0,,406145
1991-12-17,352.5,342.0,351.0,346.0,,1063027
1991-12-18,352.0,337.0,346.5,339.0,,916857
1991-12-19,340.0,334.0,337.0,337.0,,679535
1991-12-20,337.0,329.0,334.75,331.0,,1067020
1991-12-23,330.0,326.0,327.0,330.0,,1528006
1991-12-24,333.0,329.0,332.0,331.0,,294040
1991-12-27,333.0,328.0,332.0,333.0,,125544
1991-12-30,333.0,327.0,333.0,329.0,,272661
1991-12-31,331.5,328.0,328.0,330.0,,60822
1992-01-02,332.5,328.0,328.0,329.0,,349300
1992-01-03,330.0,325.0,330.0,327.0,,844188
1992-01-06,334.0,328.0,329.0,332.0,,854691
1992-01-07,334.0,327.0,330.875,335.0,,243633
1992-01-08,336.0,332.0,335.0,335.0,,156644
1992-01-09,341.0,334.0,337.0,339.0,,728272
1992-01-10,342.0,337.0,342.0,339.0,,323157
1992-01-13,338.0,333.0,335.0,335.0,,349723
1992-01-14,334.0,331.0,332.0,334.0,,603211
1992-01-15,342.0,336.0,338.0,340.0,,741634
1992-01-16,343.0,334.0,338.0,338.0,,623475
1992-01-17,341.0,336.0,340.0,340.0,,335026
1992-01-20,356.0,335.0,336.0,337.0,,562189
1992-01-21,340.0,335.0,335.0,339.0,,884742
1992-01-22,339.0,336.0,336.0,338.0,,179428
1992-01-23,346.0,341.0,342.0,343.0,,1173047
1992-01-24,345.0,340.0,341.0,344.0,,1087091
1992-01-27,354.0,343.0,343.0,350.0,,1244227
1992-01-28,351.0,341.0,351.0,348.0,,2549266
1992-01-29,353.0,344.0,348.0,352.0,,1535661
1992-01-30,360.75,355.0,357.0,360.0,,2148086
1992-01-31,364.0,357.0,364.0,358.0,,3572509
1992-02-03,356.0,348.0,356.0,351.0,,2177819
1992-02-04,357.0,349.0,349.0,354.0,,803646
1992-02-05,357.0,350.0,357.0,352.0,,2863669
1992-02-06,353.0,349.0,350.0,352.0,,1166455
1992-02-07,355.0,350.0,350.0,353.0,,1115928
1992-02-10,359.0,351.0,353.0,358.0,,1665852
1992-02-11,362.0,357.0,358.0,360.0,,1121758
1992-02-12,363.0,358.0,358.0,362.0,,785141
1992-02-13,365.0,360.0,363.0,362.0,,1093612
1992-02-14,368.0,357.0,357.0,366.0,,845084
1992-02-17,375.5,365.0,365.0,374.0,,1349097
1992-02-18,377.0,368.0,375.0,371.0,,628687
1992-02-19,381.75,369.0,369.0,372.0,,710078
1992-02-20,374.0,368.0,374.0,371.0,,294033
1992-02-21,368.0,362.0,368.0,364.0,,552650
1992-02-24,368.0,362.0,362.0,367.0,,44896
1992-02-25,370.0,365.0,367.0,366.0,,98058
1992-02-26,377.0,364.0,366.0,372.0,,530458
1992-02-27,378.0,371.0,373.0,375.0,,1035233
1992-02-28,376.0,369.0,373.0,371.0,,1553163
1992-03-02,371.0,360.0,368.0,363.0,,823027
1992-03-03,367.0,361.0,361.0,368.0,,155079
1992-03-04,372.0,368.0,368.0,369.0,,1229945
1992-03-05,366.0,356.0,365.0,358.0,,813917
1992-03-06,368.0,354.0,368.0,357.0,,1696490
1992-03-09,365.0,354.0,354.0,364.0,,1137209
1992-03-10,368.0,360.0,362.0,367.0,,635793
1992-03-11,364.5,353.0,364.5,355.0,,2007196
1992-03-12,354.0,342.0,351.0,347.0,,1422046
1992-03-13,348.25,343.0,346.5,345.0,,756536
1992-03-16,345.0,342.0,345.0,344.0,,390219
1992-03-17,348.0,334.0,344.0,346.0,,60236
1992-03-18,349.0,331.0,346.0,332.0,,933593
1992-03-19,342.0,326.0,331.0,329.0,,702537
1992-03-20,333.0,322.0,332.0,326.0,,845583
1992-03-23,331.0,323.0,327.0,326.0,,215934
1992-03-24,332.0,325.0,326.0,332.0,,962763
1992-03-25,333.5,325.0,332.0,330.0,,210481
1992-03-26,330.0,327.0,329.5,330.0,,153240
1992-03-27,332.0,326.0,329.0,329.0,,285755
1992-03-30,330.0,324.0,327.0,326.0,,295715
1992-03-31,330.0,323.0,325.0,325.0,,556806
1992-04-01,320.0,308.0,316.0,318.0,,640799
1992-04-02,320.0,309.0,320.0,314.0,,568729
1992-04-03,314.0,308.0,313.0,312.0,,459835
1992-04-06,318.0,310.0,310.0,318.0,,856957
1992-04-07,321.0,314.5,320.0,316.0,,865446
1992-04-08,318.0,312.0,312.0,317.0,,917312
1992-04-09,333.0,318.0,318.0,331.0,,2817010
1992-04-10,418.5,394.0,403.0,411.0,,6550019
1992-04-13,423.0,414.0,414.0,416.0,,2392297
1992-04-14,416.0,410.0,412.0,415.0,,1984275
1992-04-15,425.0,414.0,415.0,416.0,,3187514
1992-04-16,422.0,412.0,422.0,414.0,,956919
1992-04-21,422.0,410.0,410.0,415.0,,157258
1992-04-22,417.0,411.0,414.0,414.0,,96636
1992-04-23,416.0,411.0,412.0,414.0,,1231920
1992-04-24,412.0,408.0,411.0,411.5,,1211651
1992-04-27,412.0,409.0,409.0,409.0,,538134
1992-04-28,410.0,406.0,407.0,410.0,,927029
1992-04-29,418.0,410.0,410.0,416.5,,4284960
1992-04-30,424.0,417.0,420.0,422.0,,2948367
1992-05-01,425.0,419.0,423.0,421.5,,1614697
1992-05-05,424.0,420.0,421.0,422.0,,1758868
1992-05-06,435.0,420.0,422.0,432.0,,2774971
1992-05-07,434.0,426.0,431.25,428.0,,448068
1992-05-08,432.0,423.0,426.0,429.0,,1393147
1992-05-11,432.0,428.0,428.0,430.0,,215256
1992-05-12,430.0,424.0,428.0,427.0,,475010
1992-05-13,431.0,425.0,426.0,429.0,,907479
1992-05-14,430.0,423.0,427.0,423.0,,1426027
1992-05-15,422.0,419.0,419.0,422.0,,703399
1992-05-18,429.0,420.0,420.0,427.0,,405717
1992-05-19,430.0,425.0,427.0,426.0,,970367
1992-05-20,431.0,426.0,427.0,429.0,,962948
1992-05-21,432.0,427.0,427.0,432.0,,302678
1992-05-22,433.0,429.0,432.0,431.0,,677373
1992-05-26,432.0,425.0,428.0,427.0,,384535
1992-05-27,427.0,423.0,424.0,427.0,,774234
1992-05-28,426.0,423.0,426.0,426.0,,102714
1992-05-29,429.0,424.0,424.0,428.0,,270973
1992-06-01,428.0,425.0,425.0,427.0,,184819
1992-06-02,432.0,425.0,432.0,428.0,,194676
