,Instrument,TR.ACCOUNTSPAYABLE,TR.ACCOUNTSPAYABLE.CALCDATE,TR.ACCOUNTSPAYABLE.FPERIOD,TR.ACCTSRECEIVTRADENET,TR.ACCTSRECEIVTRADENET.CALCDATE,TR.ACCTSRECEIVTRADENET.FPERIOD,TR.ADVERTISINGEXPENSE,TR.ADVERTISINGEXPENSE.CALCDATE,TR.ADVERTISINGEXPENSE.FPERIOD,TR.BACKLOGVALUEACTUAL,TR.BACKLOGVALUEACTUAL.CALCDATE,TR.BACKLOGVALUEACTUAL.FPERIOD,TR.CAPITALEXPENDITURES,TR.CAPITALEXPENDITURES.CALCDATE,TR.CAPITALEXPENDITURES.FPERIOD,TR.CAPITALLEASEOBLIGATIONS,TR.CAPITALLEASEOBLIGATIONS.CALCDATE,TR.CAPITALLEASEOBLIGATIONS.FPERIOD,TR.CASHANDSTINVESTMENTS,TR.CASHANDSTINVESTMENTS.CALCDATE,TR.CASHANDSTINVESTMENTS.FPERIOD,TR.CASHFROMOPERATINGACT,TR.CASHFROMOPERATINGACT.CALCDATE,TR.CASHFROMOPERATINGACT.FPERIOD,TR.COSTOFREVENUETOTAL,TR.COSTOFREVENUETOTAL.CALCDATE,TR.COSTOFREVENUETOTAL.FPERIOD,TR.DEFERREDREVENUECURRENT,TR.DEFERREDREVENUECURRENT.CALCDATE,TR.DEFERREDREVENUECURRENT.FPERIOD,TR.DEFERREDREVENUELT,TR.DEFERREDREVENUELT.CALCDATE,TR.DEFERREDREVENUELT.FPERIOD,TR.DEPRDEPLETIONANDAMORT,TR.DEPRDEPLETIONANDAMORT.CALCDATE,TR.DEPRDEPLETIONANDAMORT.FPERIOD,TR.EBITACTVALUE,TR.EBITACTVALUE.CALCDATE,TR.EBITACTVALUE.FPERIOD,TR.EBITDAACTVALUE,TR.EBITDAACTVALUE.CALCDATE,TR.EBITDAACTVALUE.FPERIOD,TR.EMPLOYEES,TR.EMPLOYEES.CALCDATE,TR.EMPLOYEES.FPERIOD,TR.GOODWILLNET,TR.GOODWILLNET.CALCDATE,TR.GOODWILLNET.FPERIOD,TR.GROSSDIVIDENDSCMNSTOCK,TR.GROSSDIVIDENDSCMNSTOCK.CALCDATE,TR.GROSSDIVIDENDSCMNSTOCK.FPERIOD,TR.INCOMETAXESPAYABLE,TR.INCOMETAXESPAYABLE.CALCDATE,TR.INCOMETAXESPAYABLE.FPERIOD,TR.INTEXPENSENETNONOPER,TR.INTEXPENSENETNONOPER.CALCDATE,TR.INTEXPENSENETNONOPER.FPERIOD,TR.INTANGIBLESNET,TR.INTANGIBLESNET.CALCDATE,TR.INTANGIBLESNET.FPERIOD,TR.INTERESTINCOMENONOPERATING,TR.INTERESTINCOMENONOPERATING.CALCDATE,TR.INTERESTINCOMENONOPERATING.FPERIOD,TR.INVENTORYACTVALUE,TR.INVENTORYACTVALUE.CALCDATE,TR.INVENTORYACTVALUE.FPERIOD,TR.ISSUANCERETIREMENTOFSTOCKNET,TR.ISSUANCERETIREMENTOFSTOCKNET.CALCDATE,TR.ISSUANCERETIREMENTOFSTOCKNET.FPERIOD,TR.LEASEEXPENSETOTAL,TR.LEASEEXPENSETOTAL.CALCDATE,TR.LEASEEXPENSETOTAL.FPERIOD,TR.MINORITYINTERESTBSSTMT,TR.MINORITYINTERESTBSSTMT.CALCDATE,TR.MINORITYINTERESTBSSTMT.FPERIOD,TR.NETINCOME,TR.NETINCOME.CALCDATE,TR.NETINCOME.FPERIOD,TR.NETINCOMEBEFOREEXTRAITEMS,TR.NETINCOMEBEFOREEXTRAITEMS.CALCDATE,TR.NETINCOMEBEFOREEXTRAITEMS.FPERIOD,TR.NETINCOMEBEFORETAXES,TR.NETINCOMEBEFORETAXES.CALCDATE,TR.NETINCOMEBEFORETAXES.FPERIOD,TR.OTHERCURRENTASSETS,TR.OTHERCURRENTASSETS.CALCDATE,TR.OTHERCURRENTASSETS.FPERIOD,TR.OTHERCURRENTLIABTOTAL,TR.OTHERCURRENTLIABTOTAL.CALCDATE,TR.OTHERCURRENTLIABTOTAL.FPERIOD,TR.OTHERLTASSETSTOTAL,TR.OTHERLTASSETSTOTAL.CALCDATE,TR.OTHERLTASSETSTOTAL.FPERIOD,TR.OTHERLIABILITIESTOTAL,TR.OTHERLIABILITIESTOTAL.CALCDATE,TR.OTHERLIABILITIESTOTAL.FPERIOD,TR.OTHERNONOPERATINGINCOME,TR.OTHERNONOPERATINGINCOME.CALCDATE,TR.OTHERNONOPERATINGINCOME.FPERIOD,TR.PPTYPLANTEQPMTTTLGROSS,TR.PPTYPLANTEQPMTTTLGROSS.CALCDATE,TR.PPTYPLANTEQPMTTTLGROSS.FPERIOD,TR.PROPERTYPLANTEQUIPMENTTOTALNET,TR.PROPERTYPLANTEQUIPMENTTOTALNET.CALCDATE,TR.PROPERTYPLANTEQUIPMENTTOTALNET.FPERIOD,TR.RECEIVABLESOTHER,TR.RECEIVABLESOTHER.CALCDATE,TR.RECEIVABLESOTHER.FPERIOD,TR.REDEEMABLEPREFERREDTTL,TR.REDEEMABLEPREFERREDTTL.CALCDATE,TR.REDEEMABLEPREFERREDTTL.FPERIOD,TR.RESEARCHANDDEVELOPMENT,TR.RESEARCHANDDEVELOPMENT.CALCDATE,TR.RESEARCHANDDEVELOPMENT.FPERIOD,TR.REVENUE,TR.REVENUE.CALCDATE,TR.REVENUE.FPERIOD,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP.CALCDATE,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP.FPERIOD,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP.CALCDATE,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP.FPERIOD,TR.SGAEXPENSETOTAL,TR.SGAEXPENSETOTAL.CALCDATE,TR.SGAEXPENSETOTAL.FPERIOD,TR.SPECIALITEMSMM,TR.SPECIALITEMSMM.CALCDATE,TR.SPECIALITEMSMM.FPERIOD,TR.TAXCURDOM,TR.TAXCURDOM.CALCDATE,TR.TAXCURDOM.FPERIOD,TR.TAXDEFTOT,TR.TAXDEFTOT.CALCDATE,TR.TAXDEFTOT.FPERIOD,TR.TAXOTHINCTOT,TR.TAXOTHINCTOT.CALCDATE,TR.TAXOTHINCTOT.FPERIOD,TR.TOTALASSETSREPORTED,TR.TOTALASSETSREPORTED.CALCDATE,TR.TOTALASSETSREPORTED.FPERIOD,TR.TOTALCURRLIABILITIES,TR.TOTALCURRLIABILITIES.CALCDATE,TR.TOTALCURRLIABILITIES.FPERIOD,TR.TOTALCURRENTASSETS,TR.TOTALCURRENTASSETS.CALCDATE,TR.TOTALCURRENTASSETS.FPERIOD,TR.TOTALDEBTOUTSTANDING,TR.TOTALDEBTOUTSTANDING.CALCDATE,TR.TOTALDEBTOUTSTANDING.FPERIOD,TR.TOTALEQUITY,TR.TOTALEQUITY.CALCDATE,TR.TOTALEQUITY.FPERIOD,TR.TOTALINVENTORY,TR.TOTALINVENTORY.CALCDATE,TR.TOTALINVENTORY.FPERIOD,TR.TOTALLIABILITIES,TR.TOTALLIABILITIES.CALCDATE,TR.TOTALLIABILITIES.FPERIOD,TR.TOTALLONGTERMDEBT,TR.TOTALLONGTERMDEBT.CALCDATE,TR.TOTALLONGTERMDEBT.FPERIOD,TR.TTLPREFERREDSHARESOUT,TR.TTLPREFERREDSHARESOUT.CALCDATE,TR.TTLPREFERREDSHARESOUT.FPERIOD,TR.WARRANTSCONVERTED,TR.WARRANTSCONVERTED.CALCDATE,TR.WARRANTSCONVERTED.FPERIOD
1929,TRAC.L,,,,1865182.88,2014-09-23,FY2013,,,,,,,-415558.88,2014-09-23,FY2013,,2014-09-23,FY2014,111741.85,2014-09-23,FY2013,-908431.04,2014-09-23,FY2013,2114639.01,2014-09-23,FY2013,,,,,,,141338.34,2014-09-23,FY2013,,2015-12-31,,,2015-12-31,,19,2014-09-23,FY2013,,,,0.0,2014-09-23,FY2013,,2014-09-23,FY2014,-261536.33,2014-09-23,FY2013,1209832.03,2014-09-23,FY2013,1208.02,2014-09-23,FY2013,,2015-12-31,,1885115.21,2014-09-23,FY2013,,,,0.0,2014-09-23,FY2013,-1078157.85,2014-09-23,FY2013,-1078157.85,2014-09-23,FY2013,-1150035.04,2014-09-23,FY2013,,2014-09-23,FY2013,,2014-09-23,FY2014,,2014-09-23,FY2013,,2014-09-23,FY2013,-85769.42,2014-09-23,FY2013,301400.99,2014-09-23,FY2013,163082.7,2014-09-23,FY2013,273616.53,2014-09-23,FY2013,,,,91809.52,2014-09-23,FY2013,3529834.44,2014-09-23,FY2013,,2014-09-23,FY2014,,,,1819882.13,2014-09-23,FY2013,,2014-09-23,FY2014,,,,,2014-09-23,FY2013,-70065.16,2014-09-23,FY2013,5312871.96,2014-09-23,FY2013,2573082.6,2014-09-23,FY2013,3939957.23,2014-09-23,FY2013,698839.57,2014-09-23,FY2013,2417852.03,2014-09-23,FY2013,1689415.97,2014-09-23,FY2013,2895019.93,2014-09-23,FY2013,321937.33,2014-09-23,FY2013,,,,,,
1930,TRAC.L,,,,1247678.02,2015-05-15,FY2014,,,,,,,-620949.38,2015-05-15,FY2014,,2015-05-15,FY2014,130996.56,2015-05-15,FY2014,-1848078.92,2015-05-15,FY2014,1604707.86,2015-05-15,FY2014,,,,,,,296026.54,2015-05-15,FY2014,,2016-06-30,,,2016-06-30,,26,2015-05-15,FY2014,,,,0.0,2015-05-15,FY2014,,2015-05-15,FY2014,-61003.3,2015-05-15,FY2014,1484627.68,2015-05-15,FY2014,0.0,2015-05-15,FY2014,,2016-06-30,,2002834.66,2015-05-15,FY2014,,,,0.0,2015-05-15,FY2014,-1809550.52,2015-05-15,FY2014,-1809550.52,2015-05-15,FY2014,-1809550.52,2015-05-15,FY2014,,2015-05-15,FY2013,,2015-05-15,FY2014,,2015-05-15,FY2014,,2015-05-15,FY2014,-32107.0,2015-05-15,FY2014,408401.04,2015-05-15,FY2014,253645.3,2015-05-15,FY2014,109163.8,2015-05-15,FY2014,,,,162461.42,2015-05-15,FY2014,3213910.7,2015-05-15,FY2014,,2015-05-15,FY2014,,,,3125937.52,2015-05-15,FY2014,-141912.94,2015-05-15,FY2014,,,,,2015-05-15,FY2014,,2015-05-15,FY2014,5397828.84,2015-05-15,FY2014,2144747.6,2015-05-15,FY2014,3659555.86,2015-05-15,FY2014,1099343.68,2015-05-15,FY2014,2804867.52,2015-05-15,FY2014,2171717.48,2015-05-15,FY2014,2592961.32,2015-05-15,FY2014,448213.72,2015-05-15,FY2014,,,,,,
1931,TRAC.L,,,,1247678.02,2015-08-21,FY2014,,,,,,,-620949.38,2015-08-21,FY2014,,2015-08-21,FY2015,130996.56,2015-08-21,FY2014,-1848078.92,2015-08-21,FY2014,1604707.86,2015-08-21,FY2014,,,,,,,296026.54,2015-08-21,FY2014,-1391597.55,2017-03-22,FY2016,-1043097.3,2017-03-22,FY2016,26,2015-08-21,FY2014,,,,0.0,2015-08-21,FY2014,,2015-08-21,FY2015,-61003.3,2015-08-21,FY2014,1484627.68,2015-08-21,FY2014,0.0,2015-08-21,FY2014,1006244.4,2017-03-22,FY2016,2002834.66,2015-08-21,FY2014,,,,0.0,2015-08-21,FY2014,-1809550.52,2015-08-21,FY2014,-1809550.52,2015-08-21,FY2014,-1809550.52,2015-08-21,FY2014,,2015-08-21,FY2014,,2015-08-21,FY2015,,2015-08-21,FY2014,,2015-08-21,FY2014,-32107.0,2015-08-21,FY2014,408401.04,2015-08-21,FY2014,253645.3,2015-08-21,FY2014,109163.8,2015-08-21,FY2014,,,,162461.42,2015-08-21,FY2014,3213910.7,2015-08-21,FY2014,,2015-08-21,FY2015,,,,3125937.52,2015-08-21,FY2014,-141912.94,2015-08-21,FY2014,,,,,2015-08-21,FY2014,,2015-08-21,FY2014,5397828.84,2015-08-21,FY2014,2144747.6,2015-08-21,FY2014,3659555.86,2015-08-21,FY2014,1099343.68,2015-08-21,FY2014,2804867.52,2015-08-21,FY2014,2171717.48,2015-08-21,FY2014,2592961.32,2015-08-21,FY2014,448213.72,2015-08-21,FY2014,,,,,,
1932,TRAC.L,,,,911252.36,2016-03-11,FY2015,,,,,,,-444430.6,2016-03-11,FY2015,,2016-03-11,FY2015,103813.56,2016-03-11,FY2015,-219840.48,2016-03-11,FY2015,2079663.8,2016-03-11,FY2015,,,,,,,232732.36,2016-03-11,FY2015,-1391597.55,2017-09-29,FY2016,-1043097.3,2017-09-29,FY2016,24,2016-03-11,FY2015,,,,0.0,2016-03-11,FY2015,,2016-03-11,FY2015,-67852.0,2016-03-11,FY2015,1771615.72,2016-03-11,FY2015,678.52,2016-03-11,FY2015,1006244.4,2017-09-29,FY2016,475642.52,2016-03-11,FY2015,,,,,2016-03-11,FY2014,-1193516.68,2016-03-11,FY2015,-1193516.68,2016-03-11,FY2015,-1193516.68,2016-03-11,FY2015,,2016-03-11,FY2014,,2016-03-11,FY2015,45460.84,2016-03-11,FY2015,,2016-03-11,FY2015,-49531.96,2016-03-11,FY2015,443073.56,2016-03-11,FY2015,243588.68,2016-03-11,FY2015,29854.88,2016-03-11,FY2015,,,,78029.8,2016-03-11,FY2015,3481486.12,2016-03-11,FY2015,,2016-03-11,FY2015,,,,2338179.92,2016-03-11,FY2015,,2016-03-11,FY2014,,,,,2016-03-11,FY2015,,2016-03-11,FY2015,4599687.08,2016-03-11,FY2015,1718691.16,2016-03-11,FY2015,2539021.84,2016-03-11,FY2015,1203015.96,2016-03-11,FY2015,2372784.44,2016-03-11,FY2015,1494101.04,2016-03-11,FY2015,2226902.64,2016-03-11,FY2015,508211.48,2016-03-11,FY2015,,,,,,
1933,TRAC.L,,,,911252.36,2016-09-07,FY2015,,,,,,,-444430.6,2016-09-07,FY2015,,2016-09-07,FY2016,103813.56,2016-09-07,FY2015,-219840.48,2016-09-07,FY2015,2079663.8,2016-09-07,FY2015,,,,,,,232732.36,2016-09-07,FY2015,-643733.79,2018-03-08,FY2017,-274437.69,2018-03-08,FY2017,24,2016-09-07,FY2015,,,,0.0,2016-09-07,FY2015,,2016-09-07,FY2016,-67852.0,2016-09-07,FY2015,1771615.72,2016-09-07,FY2015,678.52,2016-09-07,FY2015,1075303.35,2018-03-08,FY2017,475642.52,2016-09-07,FY2015,,,,,2016-09-07,FY2014,-1193516.68,2016-09-07,FY2015,-1193516.68,2016-09-07,FY2015,-1193516.68,2016-09-07,FY2015,,2016-09-07,FY2015,,2016-09-07,FY2016,45460.84,2016-09-07,FY2015,,2016-09-07,FY2015,-49531.96,2016-09-07,FY2015,443073.56,2016-09-07,FY2015,243588.68,2016-09-07,FY2015,29854.88,2016-09-07,FY2015,,,,78029.8,2016-09-07,FY2015,3481486.12,2016-09-07,FY2015,,2016-09-07,FY2016,,,,2338179.92,2016-09-07,FY2015,,2016-09-07,FY2015,,,,,2016-09-07,FY2015,,2016-09-07,FY2015,4599687.08,2016-09-07,FY2015,1718691.16,2016-09-07,FY2015,2539021.84,2016-09-07,FY2015,1203015.96,2016-09-07,FY2015,2372784.44,2016-09-07,FY2015,1494101.04,2016-09-07,FY2015,2226902.64,2016-09-07,FY2015,508211.48,2016-09-07,FY2015,,,,,,
1934,TRAC.L,,,,1127600.24,2017-03-22,FY2016,,,,,,,-299126.16,2017-03-22,FY2016,,2017-03-22,FY2016,74578.88,2017-03-22,FY2016,-382622.08,2017-03-22,FY2016,3009095.68,2017-03-22,FY2016,,,,,,,352628.4,2017-03-22,FY2016,-643733.79,2018-08-29,FY2017,-274437.69,2018-08-29,FY2017,32,2017-03-22,FY2016,,,,0.0,2017-03-22,FY2016,,2017-03-22,FY2016,-64040.56,2017-03-22,FY2016,2108474.64,2017-03-22,FY2016,0.0,2017-03-22,FY2016,1075303.35,2018-08-29,FY2017,756327.12,2017-03-22,FY2016,,,,,2017-03-22,FY2014,-1631007.68,2017-03-22,FY2016,-1631007.68,2017-03-22,FY2016,-1576694.8,2017-03-22,FY2016,,2017-03-22,FY2015,,2017-03-22,FY2016,27561.76,2017-03-22,FY2016,,2017-03-22,FY2016,-56744.8,2017-03-22,FY2016,544750.08,2017-03-22,FY2016,245623.92,2017-03-22,FY2016,52691.6,2017-03-22,FY2016,,,,153210.96,2017-03-22,FY2016,4160204.48,2017-03-22,FY2016,,2017-03-22,FY2016,,,,2364636.88,2017-03-22,FY2016,,2017-03-22,FY2015,,,,,2017-03-22,FY2016,,2017-03-22,FY2016,4654694.88,2017-03-22,FY2016,2128740.64,2017-03-22,FY2016,2273034.56,2017-03-22,FY2016,1074098.0,2017-03-22,FY2016,2224396.16,2017-03-22,FY2016,1018163.84,2017-03-22,FY2016,2430298.72,2017-03-22,FY2016,301558.08,2017-03-22,FY2016,,,,,,
1935,TRAC.L,,,,1127600.24,2017-09-29,FY2016,,,,,,,-299126.16,2017-09-29,FY2016,,2017-09-29,FY2017,74578.88,2017-09-29,FY2016,-382622.08,2017-09-29,FY2016,3009095.68,2017-09-29,FY2016,,,,,,,352628.4,2017-09-29,FY2016,,2019-03-18,,-195397.37,2019-03-18,FY2018,32,2017-09-29,FY2016,,,,0.0,2017-09-29,FY2016,,2017-09-29,FY2017,-64040.56,2017-09-29,FY2016,2108474.64,2017-09-29,FY2016,0.0,2017-09-29,FY2016,1527720.75,2019-03-18,FY2018,756327.12,2017-09-29,FY2016,,,,,2017-09-29,FY2014,-1631007.68,2017-09-29,FY2016,-1631007.68,2017-09-29,FY2016,-1576694.8,2017-09-29,FY2016,,2017-09-29,FY2016,,2017-09-29,FY2017,27561.76,2017-09-29,FY2016,,2017-09-29,FY2016,-56744.8,2017-09-29,FY2016,544750.08,2017-09-29,FY2016,245623.92,2017-09-29,FY2016,52691.6,2017-09-29,FY2016,,,,153210.96,2017-09-29,FY2016,4160204.48,2017-09-29,FY2016,,2017-09-29,FY2017,,,,2364636.88,2017-09-29,FY2016,,2017-09-29,FY2016,,,,,2017-09-29,FY2016,,2017-09-29,FY2016,4654694.88,2017-09-29,FY2016,2128740.64,2017-09-29,FY2016,2273034.56,2017-09-29,FY2016,1074098.0,2017-09-29,FY2016,2224396.16,2017-09-29,FY2016,1018163.84,2017-09-29,FY2016,2430298.72,2017-09-29,FY2016,301558.08,2017-09-29,FY2016,,,,,,
1936,TRAC.L,,,,1311421.76,2018-03-08,FY2017,,,,,,,-301952.64,2018-03-08,FY2017,,2018-03-08,FY2017,109531.84,2018-03-08,FY2017,-799286.4,2018-03-08,FY2017,2486668.8,2018-03-08,FY2017,,,,,,,377440.8,2018-03-08,FY2017,,2019-08-13,,-195397.37,2019-08-13,FY2018,22,2018-03-08,FY2017,,,,0.0,2018-03-08,FY2017,,2018-03-08,FY2017,-128773.92,2018-03-08,FY2017,1818376.56,2018-03-08,FY2017,,2018-03-08,FY2017,1527720.75,2019-08-13,FY2018,958403.6,2018-03-08,FY2017,,,,,2018-03-08,FY2014,-999108.0,2018-03-08,FY2017,-999108.0,2018-03-08,FY2017,-999108.0,2018-03-08,FY2017,,2018-03-08,FY2016,,2018-03-08,FY2017,32563.52,2018-03-08,FY2017,,2018-03-08,FY2017,-61426.64,2018-03-08,FY2017,481792.08,2018-03-08,FY2017,224244.24,2018-03-08,FY2017,74748.08,2018-03-08,FY2017,,,,175398.96,2018-03-08,FY2017,4026035.2,2018-03-08,FY2017,,2018-03-08,FY2017,,,,1962692.16,2018-03-08,FY2017,,2018-03-08,FY2016,,,,,2018-03-08,FY2017,,2018-03-08,FY2017,4669904.8,2018-03-08,FY2017,2311269.84,2018-03-08,FY2017,2594720.48,2018-03-08,FY2017,1113820.4,2018-03-08,FY2017,2243922.56,2018-03-08,FY2017,1099018.8,2018-03-08,FY2017,2425982.24,2018-03-08,FY2017,114712.4,2018-03-08,FY2017,,,,,,
1937,TRAC.L,,,,1311421.76,2018-08-29,FY2017,,,,,,,-301952.64,2018-08-29,FY2017,,2018-08-29,FY2018,109531.84,2018-08-29,FY2017,-799286.4,2018-08-29,FY2017,2486668.8,2018-08-29,FY2017,,,,,,,377440.8,2018-08-29,FY2017,,2019-12-31,,,2019-12-31,,22,2018-08-29,FY2017,,,,0.0,2018-08-29,FY2017,,2018-08-29,FY2018,-128773.92,2018-08-29,FY2017,1818376.56,2018-08-29,FY2017,,2018-08-29,FY2017,,2019-12-31,,958403.6,2018-08-29,FY2017,,,,,2018-08-29,FY2015,-999108.0,2018-08-29,FY2017,-999108.0,2018-08-29,FY2017,-999108.0,2018-08-29,FY2017,,2018-08-29,FY2017,,2018-08-29,FY2018,32563.52,2018-08-29,FY2017,,2018-08-29,FY2017,-61426.64,2018-08-29,FY2017,481792.08,2018-08-29,FY2017,224244.24,2018-08-29,FY2017,74748.08,2018-08-29,FY2017,,,,175398.96,2018-08-29,FY2017,4026035.2,2018-08-29,FY2017,,2018-08-29,FY2018,,,,1962692.16,2018-08-29,FY2017,,2018-08-29,FY2017,,,,,2018-08-29,FY2017,,2018-08-29,FY2017,4669904.8,2018-08-29,FY2017,2311269.84,2018-08-29,FY2017,2594720.48,2018-08-29,FY2017,1113820.4,2018-08-29,FY2017,2243922.56,2018-08-29,FY2017,1099018.8,2018-08-29,FY2017,2425982.24,2018-08-29,FY2017,114712.4,2018-08-29,FY2017,,,,,,
1938,TRAC.L,,,,1487020.36,2019-03-18,FY2018,,,,,,,-286116.2,2019-03-18,FY2018,54871.6,2019-03-18,FY2018,116798.12,2019-03-18,FY2018,-544796.6,2019-03-18,FY2018,2803154.88,2019-03-18,FY2018,,,,,,,488357.24,2019-03-18,FY2018,,2020-06-30,,,2020-06-30,,24,2019-03-18,FY2018,,,,0.0,2019-03-18,FY2018,69765.32,2019-03-18,FY2018,-71333.08,2019-03-18,FY2018,1786462.52,2019-03-18,FY2018,,2019-03-18,FY2018,,2020-06-30,,1198552.52,2019-03-18,FY2018,,,,,2019-03-18,FY2015,-721169.6,2019-03-18,FY2018,-721169.6,2019-03-18,FY2018,-651404.28,2019-03-18,FY2018,,2019-03-18,FY2017,69765.32,2019-03-18,FY2018,36058.48,2019-03-18,FY2018,,2019-03-18,FY2018,-62710.4,2019-03-18,FY2018,783096.12,2019-03-18,FY2018,408401.48,2019-03-18,FY2018,59574.88,2019-03-18,FY2018,,,,175589.12,2019-03-18,FY2018,4698576.72,2019-03-18,FY2018,187347.32,2019-03-18,FY2018,,,,2239545.16,2019-03-18,FY2018,-29787.44,2019-03-18,FY2018,,,,,2019-03-18,FY2018,,2019-03-18,FY2018,5490295.52,2019-03-18,FY2018,2369669.24,2019-03-18,FY2018,3259373.04,2019-03-18,FY2018,1065292.92,2019-03-18,FY2018,3026560.68,2019-03-18,FY2018,1587357.0,2019-03-18,FY2018,2463734.84,2019-03-18,FY2018,94065.6,2019-03-18,FY2018,,,,,,
1939,TRAC.L,,,,1487020.36,2019-08-13,FY2018,,,,,,,-286116.2,2019-08-13,FY2018,54871.6,2019-08-13,FY2018,116798.12,2019-08-13,FY2018,-544796.6,2019-08-13,FY2018,2803154.88,2019-08-13,FY2018,,,,,,,488357.24,2019-08-13,FY2018,,2020-12-31,,,2020-12-31,,24,2019-08-13,FY2018,,,,0.0,2019-08-13,FY2018,69765.32,2019-08-13,FY2018,-71333.08,2019-08-13,FY2018,1786462.52,2019-08-13,FY2018,,2019-08-13,FY2018,,2020-12-31,,1198552.52,2019-08-13,FY2018,,,,,2019-08-13,FY2016,-721169.6,2019-08-13,FY2018,-721169.6,2019-08-13,FY2018,-651404.28,2019-08-13,FY2018,,2019-08-13,FY2018,69765.32,2019-08-13,FY2018,36058.48,2019-08-13,FY2018,,2019-08-13,FY2018,-62710.4,2019-08-13,FY2018,783096.12,2019-08-13,FY2018,408401.48,2019-08-13,FY2018,59574.88,2019-08-13,FY2018,,,,175589.12,2019-08-13,FY2018,4698576.72,2019-08-13,FY2018,187347.32,2019-08-13,FY2018,,,,2239545.16,2019-08-13,FY2018,-29787.44,2019-08-13,FY2018,,,,,2019-08-13,FY2018,,2019-08-13,FY2018,5490295.52,2019-08-13,FY2018,2369669.24,2019-08-13,FY2018,3259373.04,2019-08-13,FY2018,1065292.92,2019-08-13,FY2018,3026560.68,2019-08-13,FY2018,1587357.0,2019-08-13,FY2018,2463734.84,2019-08-13,FY2018,94065.6,2019-08-13,FY2018,,,,,,
1940,TRAC.L,,,,1497841.2,2020-03-02,FY2019,,,,,,,-389921.4,2020-03-02,FY2019,86733.0,2020-03-02,FY2019,165169.8,2020-03-02,FY2019,-6033.6,2020-03-02,FY2019,3031129.8,2020-03-02,FY2019,,,,,,,507576.6,2020-03-02,FY2019,,,,,,,24,2020-03-02,FY2019,,,,0.0,2020-03-02,FY2019,0.0,2020-03-02,FY2019,-39972.6,2020-03-02,FY2019,1598149.8,2020-03-02,FY2019,,2020-03-02,FY2019,,,,588276.0,2020-03-02,FY2019,,,,,2020-03-02,FY2016,-768529.8,2020-03-02,FY2019,-768529.8,2020-03-02,FY2019,-768529.8,2020-03-02,FY2019,,2020-03-02,FY2018,0.0,2020-03-02,FY2019,40726.8,2020-03-02,FY2019,,2020-03-02,FY2019,-58073.4,2020-03-02,FY2019,782105.4,2020-03-02,FY2019,457045.2,2020-03-02,FY2019,89749.8,2020-03-02,FY2019,,,,174220.2,2020-03-02,FY2019,5141381.4,2020-03-02,FY2019,171957.6,2020-03-02,FY2019,,,,2249778.6,2020-03-02,FY2019,-38464.2,2020-03-02,FY2019,,,,,2020-03-02,FY2019,,2020-03-02,FY2019,5655745.8,2020-03-02,FY2019,2508469.2,2020-03-02,FY2019,3559824.0,2020-03-02,FY2019,980460.0,2020-03-02,FY2019,2934592.2,2020-03-02,FY2019,1769353.2,2020-03-02,FY2019,2721153.6,2020-03-02,FY2019,212684.4,2020-03-02,FY2019,,,,,,
1941,TRAC.L,,,,1497841.2,2020-08-20,FY2019,,,,,,,-389921.4,2020-08-20,FY2019,86733.0,2020-08-20,FY2019,165169.8,2020-08-20,FY2019,-6033.6,2020-08-20,FY2019,3031129.8,2020-08-20,FY2019,,,,,,,507576.6,2020-08-20,FY2019,,,,,,,24,2020-08-20,FY2019,,,,0.0,2020-08-20,FY2019,0.0,2020-08-20,FY2019,-39972.6,2020-08-20,FY2019,1598149.8,2020-08-20,FY2019,,2020-08-20,FY2019,,,,588276.0,2020-08-20,FY2019,,,,,2020-08-20,FY2017,-768529.8,2020-08-20,FY2019,-768529.8,2020-08-20,FY2019,-768529.8,2020-08-20,FY2019,,2020-08-20,FY2019,0.0,2020-08-20,FY2019,40726.8,2020-08-20,FY2019,,2020-08-20,FY2019,-58073.4,2020-08-20,FY2019,782105.4,2020-08-20,FY2019,457045.2,2020-08-20,FY2019,89749.8,2020-08-20,FY2019,,,,174220.2,2020-08-20,FY2019,5141381.4,2020-08-20,FY2019,171957.6,2020-08-20,FY2019,,,,2249778.6,2020-08-20,FY2019,-38464.2,2020-08-20,FY2019,,,,,2020-08-20,FY2019,,2020-08-20,FY2019,5655745.8,2020-08-20,FY2019,2508469.2,2020-08-20,FY2019,3559824.0,2020-08-20,FY2019,980460.0,2020-08-20,FY2019,2934592.2,2020-08-20,FY2019,1769353.2,2020-08-20,FY2019,2721153.6,2020-08-20,FY2019,212684.4,2020-08-20,FY2019,,,,,,
