datadate,acoq,actq,aoq,apq,atq,capxq,ceqq,cheq,cogsq,count,countq,dcpstkq,dcq,dcvtq,dlcq,dlttq,dmq,dpq,drcq,drltq,drq,dvtq,ebitdaq,ebitq,empq,fatlq,gdwliaq,ibq,intanq,invtq,lcoq,lctq,loq,ltq,niq,nopiq,oancfq,obq,piq,ppegtq,ppentq,pstkq,pstkqq,rectq,revtq,scstkcq,spiq,txdiq,txfedq,txfoq,txpq,txtq,xadq,xintq,xrdq,xsgaq
2012-06-20,,217399982.3326,10599999.2678,119599990.4715,1884099847.7683,-48972068.2327,554699955.1741,23399997.9884,292360303.1367,10,37,,,,1753299858.5703,875599929.4623,1699999.8012,196084583.899652,,,,17174573.0275,274343144.9547,95507760.3981,8555.0,,370999970.0603,86854269.3105,1505699878.4284,13399998.7954,14099998.6773,281799977.0123,21699998.1872,1329399892.5942,86854269.3105,-98140.4173,29834686.8592,,132293282.5204,1876699604.57931,1263399897.9204,,,180599984.9327,1113501174.6858,-3434915.13337448,-66048510.9932091,37882201.0778,7949373.8013,37489639.4086,2799999.5276,45439013.2099,,-49659051.1538,,373914989.913
2012-06-21,,217399982.3326,10599999.2678,119599990.4715,1884099847.7683,-48972068.2327,554699955.1741,23399997.9884,292360303.1367,10,37,,,,1753299858.5703,875599929.4623,1699999.8012,196084583.899652,,,,17174573.0275,389264861.944,185184253.8392,8555.0,,370999970.0603,86854269.3105,1505699878.4284,13399998.7954,14099998.6773,281799977.0123,21699998.1872,1329399892.5942,86854269.3105,-98140.4173,29834686.8592,,132293282.5204,1876699604.57931,1263399897.9204,,,180599984.9327,1113501174.6858,-3434915.13337448,-66048510.9932091,37882201.0778,7949373.8013,37489639.4086,2799999.5276,45439013.2099,,-49659051.1538,,373914989.913
2012-09-04,,217399982.3326,10599999.2678,119599990.4715,1884099847.7683,-48972068.2327,554699955.1741,23399997.9884,292360303.1367,10,38,,,,1753299858.5703,875599929.4623,1699999.8012,196084583.899652,,,,17174573.0275,389264861.944,185184253.8392,8555.0,,370999970.0603,86854269.3105,1505699878.4284,13399998.7954,14099998.6773,281799977.0123,21699998.1872,1329399892.5942,86854269.3105,-98140.4173,29834686.8592,,132293282.5204,1876699604.57931,1263399897.9204,,,180599984.9327,1113501174.6858,-3434915.13337448,-66048510.9932091,37882201.0778,7949373.8013,37489639.4086,2799999.5276,45439013.2099,,-49659051.1538,,373914989.913
2012-12-11,,217399982.3326,10599999.2678,119599990.4715,1884099847.7683,-48972068.2327,554699955.1741,23399997.9884,292360303.1367,10,39,,,,1753299858.5703,875599929.4623,1699999.8012,196084583.899652,,,,17174573.0275,389264861.944,185184253.8392,8555.0,,370999970.0603,86854269.3105,1505699878.4284,13399998.7954,14099998.6773,281799977.0123,21699998.1872,1329399892.5942,86854269.3105,-98140.4173,29834686.8592,,132293282.5204,1876699604.57931,1263399897.9204,,,180599984.9327,1113501174.6858,-3434915.13337448,-66048510.9932091,37882201.0778,7949373.8013,37489639.4086,2799999.5276,45439013.2099,,-49659051.1538,,373914989.913
2013-03-05,,217399982.3326,10599999.2678,119599990.4715,1884099847.7683,-48972068.2327,554699955.1741,23399997.9884,292360303.1367,10,40,,,,1753299858.5703,875599929.4623,1699999.8012,196084583.899652,,,,17174573.0275,389264861.944,185184253.8392,8555.0,,370999970.0603,86854269.3105,1505699878.4284,13399998.7954,14099998.6773,281799977.0123,21699998.1872,1329399892.5942,86854269.3105,-98140.4173,29834686.8592,,132293282.5204,1876699604.57931,1263399897.9204,,,180599984.9327,1113501174.6858,-3434915.13337448,-66048510.9932091,37882201.0778,7949373.8013,37489639.4086,2799999.5276,45439013.2099,,-49659051.1538,,373914989.913
2013-06-20,,256400075.08276,1700000.30295,146900042.80544,2272600662.95531,-59074681.02704,682500199.49591,20300006.11731,353536126.07873,11,41,,,,2066600603.4822,1032200301.3557,700000.01112,232042937.443342,,,,38099622.9295,526826877.3477,294507686.1552,9085.0,,397300116.13722,139631064.07013,1621800473.8049898,16700004.6804,15700004.38857,314000091.63462,24900007.20218,1590100464.10327,139631064.07013,-1114616.87827,607972.95976,,217046254.56091,2513900733.56705,1584600462.17627,,,219400064.28505,1379996704.97999,-10335536.9516349,-107712507.642936,65863709.4063,12159454.04424,65255736.44654,3800000.98018,77415190.49078,,-44078020.91037,,418589205.73051
2013-09-04,,256400075.08276,1700000.30295,146900042.80544,2272600662.95531,-59074681.02704,682500199.49591,20300006.11731,353536126.07873,11,42,,,,2066600603.4822,1032200301.3557,700000.01112,232042937.443342,,,,38099622.9295,526826877.3477,294507686.1552,9085.0,,397300116.13722,139631064.07013,1621800473.8049898,16700004.6804,15700004.38857,314000091.63462,24900007.20218,1590100464.10327,139631064.07013,-1114616.87827,607972.95976,,217046254.56091,2513900733.56705,1584600462.17627,,,219400064.28505,1379996704.97999,-10335536.9516349,-107712507.642936,65863709.4063,12159454.04424,65255736.44654,3800000.98018,77415190.49078,,-44078020.91037,,418589205.73051
2013-12-10,,256400075.08276,1700000.30295,146900042.80544,2272600662.95531,-59074681.02704,682500199.49591,20300006.11731,353536126.07873,11,43,,,,2066600603.4822,1032200301.3557,700000.01112,232042937.443342,,,,38099622.9295,526826877.3477,294507686.1552,9085.0,,397300116.13722,139631064.07013,1621800473.8049898,16700004.6804,15700004.38857,314000091.63462,24900007.20218,1590100464.10327,139631064.07013,-1114616.87827,607972.95976,,217046254.56091,2513900733.56705,1584600462.17627,,,219400064.28505,1379996704.97999,-10335536.9516349,-107712507.642936,65863709.4063,12159454.04424,65255736.44654,3800000.98018,77415190.49078,,-44078020.91037,,418589205.73051
2014-03-04,,256400075.08276,1700000.30295,146900042.80544,2272600662.95531,-59074681.02704,682500199.49591,20300006.11731,353536126.07873,11,44,,,,2066600603.4822,1032200301.3557,700000.01112,232042937.443342,,,,38099622.9295,526826877.3477,294507686.1552,9085.0,,397300116.13722,139631064.07013,1621800473.8049898,16700004.6804,15700004.38857,314000091.63462,24900007.20218,1590100464.10327,139631064.07013,-1114616.87827,607972.95976,,217046254.56091,2513900733.56705,1584600462.17627,,,219400064.28505,1379996704.97999,-10335536.9516349,-107712507.642936,65863709.4063,12159454.04424,65255736.44654,3800000.98018,77415190.49078,,-44078020.91037,,418589205.73051
2014-06-17,,291000007.60965,6100000.4559,161400004.22061,2672400069.88326,-80897406.67209,824400021.55806,2800000.07322,387416068.86258,12,45,,,,2300600060.1606903,1149200030.05158,2400000.06276,261659897.945047,,,,54627088.05294,646365350.28,386064374.1936,9934.0,,400400010.47046,219267062.83833,1647400043.07951,18500000.78016,20800000.54392,368800009.64412,20300000.82723,1848000048.3252,219267062.83833,-379355.0169,21907738.29588,,338099947.48962,2937700077.11724,1929100050.74235,,,269700007.34904,1550328146.43351,-21243862.68203,-65628361.4998206,110202563.64813,15932900.63271,102899984.01858,5800000.15167,118832884.65129,,-44289670.65927,,443560576.39035
