datadate,acoq,actq,aoq,apq,atq,capxq,ceqq,cheq,cogsq,count,countq,dcpstkq,dcq,dcvtq,dlcq,dlttq,dmq,dpq,drcq,drltq,drq,dvtq,ebitdaq,ebitq,empq,fatbq,fatlq,gdwliaq,ibq,intanq,invtq,lcoq,lctq,loq,ltq,niq,nopiq,oancfq,obq,piq,ppegtq,ppentq,pstkq,pstkqq,rectq,revtq,scstkcq,spiq,txdiq,txfedq,txfoq,txpq,txtq,xadq,xintq,xrdq,xsgaq
2014-08-13,,,864575135.31902,710899363.471424,51272068873.9038,-109844076.050801,3348184986.99728,,,13,50,,,,19867093034.6235,8457078135.7726,,54795431.2065316,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,736739817.708691,11718,558095310.704566,,315824653.159964,4913174.78076807,1986934206.985185,,10298738.2824312,,4335816969.00514,47360324973.08743,5957577.26035682,,473736149.531297,,55477862.7154521,1154667471.42425,585544499.244028,,,,,6646650.43846387,-84839851.9806471,-159592668.884185,,43144283.0359843,10298738.2824312,43144283.0359843,,,,
2014-11-12,,,864575135.31902,710899363.471424,51272068873.9038,-109844076.050801,3348184986.99728,,,13,51,,,,19867093034.6235,8457078135.7726,,54795431.2065316,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,736739817.708691,11718,558095310.704566,,315824653.159964,4913174.78076807,1986934206.985185,,10298738.2824312,,4335816969.00514,47360324973.08743,5957577.26035682,,473736149.531297,,55477862.7154521,1154667471.42425,585544499.244028,,,,,6646650.43846387,-84839851.9806471,-159592668.884185,,43144283.0359843,10298738.2824312,43144283.0359843,,,,
2014-11-13,,,864575135.31902,710899363.471424,51272068873.9038,-109844076.050801,3348184986.99728,,,13,51,,,,19867093034.6235,8457078135.7726,,54795431.2065316,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,736739817.708691,11718,558095310.704566,,315824653.159964,4913174.78076807,1986934206.985185,,10298738.2824312,,4335816969.00514,47360324973.08743,5957577.26035682,,473736149.531297,,55477862.7154521,1154667471.42425,585544499.244028,,,,,6646650.43846387,-84839851.9806471,-159592668.884185,,43144283.0359843,10298738.2824312,43144283.0359843,,,,
2015-02-10,,,918291660.315732,566941300.622997,47115062056.2511,-70601609.2905099,3783114618.76248,,,13,52,,,,18774180336.53903,8170564036.38783,,54675698.348757,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,646320677.951713,11593,539503244.517027,,295506357.273332,11494278.8120728,1864384141.3657527,,4088287.44934374,,3155287897.22373,42834803760.30972,11494278.8120728,,238703786.221496,,45182450.9768342,1107565464.53759,571670446.355773,,,,,581336919.663703,-41879506.2239158,-95313881.4976109,,22048632.1417771,4088287.44934374,22048632.1417771,,,,
2015-05-12,,,918291660.315732,566941300.622997,47115062056.2511,-70601609.2905099,3783114618.76248,,,14,53,,,,18774180336.53903,8170564036.38783,,54675698.348757,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,646320677.951713,11593,539503244.517027,,295506357.273332,11494278.8120728,1864384141.3657527,,4088287.44934374,,3155287897.22373,42834803760.30972,11494278.8120728,,238703786.221496,,45182450.9768342,1107565464.53759,571670446.355773,,,,,581336919.663703,-41879506.2239158,-95313881.4976109,,22048632.1417771,4088287.44934374,22048632.1417771,,,,
2015-05-13,,,918291660.315732,566941300.622997,47115062056.2511,-70601609.2905099,3783114618.76248,,,14,53,,,,18774180336.53903,8170564036.38783,,54675698.348757,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,646320677.951713,11593,539503244.517027,,295506357.273332,11494278.8120728,1864384141.3657527,,4088287.44934374,,3155287897.22373,42834803760.30972,11494278.8120728,,238703786.221496,,45182450.9768342,1107565464.53759,571670446.355773,,,,,581336919.663703,-41879506.2239158,-95313881.4976109,,22048632.1417771,4088287.44934374,22048632.1417771,,,,
2015-08-07,,,918291660.315732,566941300.622997,47115062056.2511,-70601609.2905099,3783114618.76248,,,14,54,,,,18774180336.53903,8170564036.38783,,54675698.348757,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,646320677.951713,11593,539503244.517027,,295506357.273332,11494278.8120728,1864384141.3657527,,4088287.44934374,,3155287897.22373,42834803760.30972,11494278.8120728,,238703786.221496,,45182450.9768342,1107565464.53759,571670446.355773,,,,,581336919.663703,-41879506.2239158,-95313881.4976109,,22048632.1417771,4088287.44934374,22048632.1417771,,,,
2015-11-11,,,918291660.315732,566941300.622997,47115062056.2511,-70601609.2905099,3783114618.76248,,,14,55,,,,18774180336.53903,8170564036.38783,,54675698.348757,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,646320677.951713,11593,539503244.517027,,295506357.273332,11494278.8120728,1864384141.3657527,,4088287.44934374,,3155287897.22373,42834803760.30972,11494278.8120728,,238703786.221496,,45182450.9768342,1107565464.53759,571670446.355773,,,,,581336919.663703,-41879506.2239158,-95313881.4976109,,22048632.1417771,4088287.44934374,22048632.1417771,,,,
2015-11-12,,,918291660.315732,566941300.622997,47115062056.2511,-70601609.2905099,3783114618.76248,,,14,55,,,,18774180336.53903,8170564036.38783,,54675698.348757,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,646320677.951713,11593,539503244.517027,,295506357.273332,11494278.8120728,1864384141.3657527,,4088287.44934374,,3155287897.22373,42834803760.30972,11494278.8120728,,238703786.221496,,45182450.9768342,1107565464.53759,571670446.355773,,,,,581336919.663703,-41879506.2239158,-95313881.4976109,,22048632.1417771,4088287.44934374,22048632.1417771,,,,
2016-02-11,,,931179004.137662,554340693.259196,45141745265.7117,-50499378.4168287,3702426346.06488,,,14,56,,,,17944134570.30224,7733161286.04164,,59133319.0126085,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,719008486.318507,11452,522137870.700796,,280302793.62735,162599126.551623,1781124395.130375,,2881910.18776946,,2649209388.03879,40977088084.57768,162599126.551623,,395457617.09799,,157332695.431196,1064515431.28333,533291179.982841,,,,,581336919.663703,-31286889.4560224,-66130664.740826,,-4213439.64552948,2881910.18776946,-4213439.64552948,,,,
2016-05-12,,,931179004.137662,554340693.259196,45141745265.7117,-50499378.4168287,3702426346.06488,,,15,57,,,,17944134570.30224,7733161286.04164,,59133319.0126085,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,719008486.318507,11452,522137870.700796,,280302793.62735,162599126.551623,1781124395.130375,,2881910.18776946,,2649209388.03879,40977088084.57768,162599126.551623,,395457617.09799,,157332695.431196,1064515431.28333,533291179.982841,,,,,581336919.663703,-31286889.4560224,-66130664.740826,,-4213439.64552948,2881910.18776946,-4213439.64552948,,,,
2016-08-04,,,931179004.137662,554340693.259196,45141745265.7117,-50499378.4168287,3702426346.06488,,,15,58,,,,17944134570.30224,7733161286.04164,,59133319.0126085,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,719008486.318507,11452,522137870.700796,,280302793.62735,162599126.551623,1781124395.130375,,2881910.18776946,,2649209388.03879,40977088084.57768,162599126.551623,,395457617.09799,,157332695.431196,1064515431.28333,533291179.982841,,,,,581336919.663703,-31286889.4560224,-66130664.740826,,-4213439.64552948,2881910.18776946,-4213439.64552948,,,,
2016-11-10,,,931179004.137662,554340693.259196,45141745265.7117,-50499378.4168287,3702426346.06488,,,15,59,,,,17944134570.30224,7733161286.04164,,59133319.0126085,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,719008486.318507,11452,522137870.700796,,280302793.62735,162599126.551623,1781124395.130375,,2881910.18776946,,2649209388.03879,40977088084.57768,162599126.551623,,395457617.09799,,157332695.431196,1064515431.28333,533291179.982841,,,,,581336919.663703,-31286889.4560224,-66130664.740826,,-4213439.64552948,2881910.18776946,-4213439.64552948,,,,
2017-02-09,,,1105027086.291,596330032.800673,55360800941.2952,-121434076.534903,4160024318.83936,,,15,60,,,,18800693203.86884,7318295485.19764,,68685377.2077376,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,537469994.694282,11637,522137870.700796,,302917043.986543,12186019.0916737,1958450674.684607,,1461572.32968881,,1994798231.455,50626062520.01678,12186019.0916737,,6066164.33978133,,8985900.08410429,1064515431.28333,826210219.512195,,,,,581336919.663703,-69514595.7947855,-3547828.3431455,,-4491245.58452481,1461572.32968881,-4491245.58452481,,,,
2017-05-09,,,1105027086.291,596330032.800673,55360800941.2952,-121434076.534903,4160024318.83936,,,16,61,,,,18800693203.86884,7318295485.19764,,68685377.2077376,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,537469994.694282,11637,522137870.700796,,302917043.986543,12186019.0916737,1958450674.684607,,1461572.32968881,,1994798231.455,50626062520.01678,12186019.0916737,,6066164.33978133,,8985900.08410429,1064515431.28333,826210219.512195,,,,,581336919.663703,-69514595.7947855,-3547828.3431455,,-4491245.58452481,1461572.32968881,-4491245.58452481,,,,
2017-08-03,,,1105027086.291,596330032.800673,55360800941.2952,-121434076.534903,4160024318.83936,,,16,62,,,,18800693203.86884,7318295485.19764,,68685377.2077376,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,537469994.694282,11637,522137870.700796,,302917043.986543,12186019.0916737,1958450674.684607,,1461572.32968881,,1994798231.455,50626062520.01678,12186019.0916737,,6066164.33978133,,8985900.08410429,1064515431.28333,826210219.512195,,,,,581336919.663703,-69514595.7947855,-3547828.3431455,,-4491245.58452481,1461572.32968881,-4491245.58452481,,,,
2017-11-08,,,1105027086.291,596330032.800673,55360800941.2952,-121434076.534903,4160024318.83936,,,16,63,,,,18800693203.86884,7318295485.19764,,68685377.2077376,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,537469994.694282,11637,522137870.700796,,302917043.986543,12186019.0916737,1958450674.684607,,1461572.32968881,,1994798231.455,50626062520.01678,12186019.0916737,,6066164.33978133,,8985900.08410429,1064515431.28333,826210219.512195,,,,,581336919.663703,-69514595.7947855,-3547828.3431455,,-4491245.58452481,1461572.32968881,-4491245.58452481,,,,
2018-02-08,,,1129892221.63842,749807638.296086,63334682027.039,-81886348.2923669,4495577833.37532,,,16,64,,,,18037029187.9416,6704976004.5105,,77619575.484939,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,647062904.635956,11653,664979116.661268,,290385584.050095,156641876.944854,1901712004.1266284,,2005543.02371613,,2028816733.48448,58259361099.41099,156641876.944854,,127593020.045345,,176778984.897014,1424747884.98219,693928539.82078,,,,,581336919.663703,35251924.2331546,137685544.655174,,19742924.1971665,2005543.02371613,19742924.1971665,,,,
2018-05-08,,,1129892221.63842,749807638.296086,63334682027.039,-81886348.2923669,4495577833.37532,,,17,65,,,,18037029187.9416,6704976004.5105,,77619575.484939,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,647062904.635956,11653,664979116.661268,,290385584.050095,156641876.944854,1901712004.1266284,,2005543.02371613,,2028816733.48448,58259361099.41099,156641876.944854,,127593020.045345,,176778984.897014,1424747884.98219,693928539.82078,,,,,581336919.663703,35251924.2331546,137685544.655174,,19742924.1971665,2005543.02371613,19742924.1971665,,,,
